SAMPLE_ID	DRIVER	IMPACT_SCORE	IS_DEREGULATED	MODULE_SIZE	NUM_DRIVERS
10	CDKN2A	2.962	0	2	1
10	EGFR	85.669	1	24	1
11	CDKN2A	829.511	0	211	6
11	CFTR	829.511	0	211	6
11	KDR	829.511	0	211	6
11	TP53	829.511	0	211	6
11	ING3	829.511	0	211	6
11	KIT	829.511	1	211	6
12	PCDH11Y	26.555	0	8	1
12	PRKY	409.215	0	106	4
12	TP53	409.215	0	106	4
12	PSMD13	409.215	0	106	4
12	TBL1Y	409.215	0	106	4
13	TP53	241.922	0	68	1
14	CDKN2A	488.174	0	121	2
14	PTEN	488.174	0	121	2
15	ANK1	819.946	0	217	10
15	COL6A2	819.946	0	217	10
15	EP300	819.946	0	217	10
15	HLA-DRB1	819.946	1	217	10
15	MAPK9	819.946	0	217	10
15	PIK3R1	819.946	0	217	10
15	SMAD4	819.946	0	217	10
15	TEK	819.946	0	217	10
15	NF1	819.946	0	217	10
15	FGFR4	819.946	0	217	10
15	KCNG1	6.273	0	3	1
15	KCNJ16	6.808	1	2	1
16	CDKN1B	712.139	0	185	5
16	PIK3CA	712.139	0	185	5
16	RB1	712.139	0	185	5
16	TP53	712.139	0	185	5
16	FGFR2	712.139	0	185	5
16	ITGA7	23.178	0	7	1
17	HLA-DRB1	568.512	0	157	3
17	PRKY	568.512	0	157	3
17	TP53	568.512	0	157	3
17	PCDH11Y	25.816	0	7	1
17	TBL1Y	6.178	0	3	1
18	EGFR	933.542	0	234	3
18	HLA-DRB1	933.542	1	234	3
18	PTEN	933.542	1	234	3
19	CD3G	19.151	0	7	1
19	CDKN2A	760.251	0	192	7
19	CHEK1	760.251	0	192	7
19	COL1A1	760.251	1	192	7
19	EGFR	760.251	0	192	7
19	PIK3C2B	760.251	0	192	7
19	POU2F1	760.251	0	192	7
19	NTRK3	760.251	1	192	7
19	MYST4	2.770	0	2	1
20	CD3G	705.025	0	181	7
20	CDK4	705.025	1	181	7
20	EGFR	705.025	0	181	7
20	PRKY	705.025	0	181	7
20	TP53	705.025	0	181	7
20	PCDH11Y	705.025	0	181	7
20	TBL1Y	705.025	0	181	7
21	CELSR1	38.603	0	12	2
21	PCDHGC5	38.603	0	12	2
21	CREBBP	756.330	0	195	6
21	LAMA2	756.330	0	195	6
21	PDGFRA	756.330	1	195	6
21	PIK3CA	756.330	0	195	6
21	PLG	756.330	0	195	6
21	RYR2	756.330	0	195	6
22	CDK6	286.012	0	87	6
22	CDKN2A	286.012	0	87	6
22	PIK3R1	286.012	0	87	6
22	TP53	286.012	0	87	6
22	PCDH11Y	286.012	0	87	6
22	FLT1	286.012	0	87	6
22	PRKY	8.924	0	4	1
23	MDM2	586.715	0	148	3
23	PTEN	586.715	0	148	3
23	RB1	586.715	0	148	3
24	CD3G	29.722	0	9	1
24	EGFR	491.426	0	124	2
24	TP53	491.426	0	124	2
26	TP53	513.437	0	126	1
27	ADCY6	5.973	0	3	1
27	CACNB3	1241.245	0	335	17
27	CCT2	1241.245	0	335	17
27	CDK4	1241.245	0	335	17
27	COL2A1	1241.245	0	335	17
27	ERBB3	1241.245	0	335	17
27	FGFR1	1241.245	0	335	17
27	FRS2	1241.245	0	335	17
27	IFNG	1241.245	0	335	17
27	ITGA7	1241.245	0	335	17
27	LRP1	1241.245	0	335	17
27	PTPRB	1241.245	1	335	17
27	RAB3IP	1241.245	0	335	17
27	STAT6	1241.245	0	335	17
27	DCTN2	1241.245	0	335	17
27	MDM2	1241.245	0	335	17
27	SMARCC2	1241.245	0	335	17
27	CNOT2	1241.245	0	335	17
28	ANK2	121.967	0	29	2
28	CDKN2A	121.967	0	29	2
29	PIK3R1	306.050	0	78	1
30	BMI1	335.273	0	96	10
30	ERBB2	335.273	0	96	10
30	ITGB1	335.273	0	96	10
30	PPP2R5D	335.273	0	96	10
30	PRKCQ	335.273	0	96	10
30	CEP135	335.273	1	96	10
30	VIM	335.273	0	96	10
30	ITGA8	335.273	0	96	10
30	KDR	335.273	0	96	10
30	KIT	335.273	0	96	10
30	CALML5	27.153	0	9	1
30	CUGBP2	5.045	0	2	1
30	EPC1	4.097	0	2	1
30	PCDH9	18.669	1	6	1
31	HSPA8	5.653	0	3	1
31	PCDH11Y	7.278	0	3	1
31	PRKY	10.193	0	4	1
32	CACNA1H	408.983	0	117	8
32	CDKN2A	408.983	0	117	8
32	CNTN2	408.983	0	117	8
32	MDM2	408.983	1	117	8
32	MDM4	408.983	1	117	8
32	RABIF	408.983	0	117	8
32	MYOG	408.983	0	117	8
32	PIK3C2B	408.983	0	117	8
32	TEK	5.993	0	3	1
33	CDK4	439.091	1	121	4
33	PIK3R1	439.091	0	121	4
33	TP53	439.091	0	121	4
33	KIT	439.091	1	121	4
33	HLA-A	9.862	0	4	1
34	HLA-DRB1	462.913	1	130	4
34	TP53	462.913	0	130	4
34	PRKY	462.913	0	130	4
34	PTEN	462.913	0	130	4
34	PCDH11Y	12.411	0	4	1
35	BMPR1B	9.217	0	4	1
35	CDH20	11.136	0	4	1
35	HLA-DRB1	32.011	1	9	1
35	LEF1	2.630	0	2	1
35	PTEN	14.375	0	5	1
36	CACNA1H	2.994	0	2	1
36	ERBB2	64.469	0	22	2
36	TP53	64.469	0	22	2
37	ANK1	6.610	0	3	1
37	BCR	495.693	0	158	17
37	CBL	495.693	0	158	17
37	ERBB3	495.693	1	158	17
37	NOS3	495.693	0	158	17
37	TP53	495.693	0	158	17
37	CDKN2A	495.693	0	158	17
37	MAPK13	495.693	0	158	17
37	PGR	495.693	0	158	17
37	ITGB3	495.693	0	158	17
37	COL1A1	495.693	0	158	17
37	COL6A2	495.693	0	158	17
37	FN1	495.693	0	158	17
37	LYN	495.693	1	158	17
37	PRKCA	495.693	0	158	17
37	KIT	495.693	0	158	17
37	PDGFRB	495.693	0	158	17
37	GLI3	495.693	0	158	17
37	PCDH24	6.255	0	3	1
38	CHL1	5.879	1	2	1
38	TP53	91.831	0	27	1
39	HLA-DRB1	178.548	1	46	1
40	CDKN2A	47.392	0	16	1
41	CDKN2A	310.607	0	98	5
41	EGFR	310.607	1	98	5
41	ERBB2	310.607	0	98	5
41	TP53	310.607	0	98	5
41	PIK3R1	310.607	0	98	5
42	BCAR1	495.452	0	142	9
42	CDK4	495.452	1	142	9
42	IFNG	495.452	0	142	9
42	PTEN	495.452	0	142	9
42	DCTN2	495.452	1	142	9
42	RPN1	495.452	1	142	9
42	NBN	495.452	0	142	9
42	HLA-DRB1	495.452	0	142	9
42	CCT2	495.452	0	142	9
43	BCR	80.007	0	28	3
43	CDK4	80.007	1	28	3
43	CD3G	80.007	0	28	3
43	CCT2	17.780	1	5	1
43	FRS2	197.321	1	50	3
43	RAB3IP	197.321	0	50	3
43	PTPRB	197.321	0	50	3
44	GPSM1	12.783	0	4	1
44	HLA-DRB1	11.745	0	5	1
45	ERBB2	288.770	0	72	1
45	PRKDC	3.082	0	2	1
46	ERBB2	170.936	0	48	2
46	PTEN	170.936	0	48	2
46	HLA-DRB1	31.407	0	10	1
46	PRKDC	13.385	0	5	1
47	ATM	474.946	0	139	18
47	CDKN2A	474.946	0	139	18
47	CHL1	474.946	1	139	18
47	MET	474.946	0	139	18
47	NOS3	474.946	0	139	18
47	PIK3CG	474.946	0	139	18
47	PIK3R1	474.946	0	139	18
47	TP53	474.946	1	139	18
47	VAV2	474.946	0	139	18
47	EP300	474.946	0	139	18
47	MYST4	474.946	0	139	18
47	PRKDC	474.946	0	139	18
47	FLI1	474.946	0	139	18
47	FBLN1	474.946	0	139	18
47	FN1	474.946	0	139	18
47	FGFR4	474.946	0	139	18
47	KALRN	474.946	0	139	18
47	PDGFRB	474.946	0	139	18
48	CACNA1H	2.522	0	2	1
48	CDKN2A	2.626	0	2	1
48	ERBB2	128.380	0	38	1
49	CDKN2A	20.524	0	8	2
49	MELK	20.524	1	8	2
49	PTEN	7.489	0	3	1
50	APOB	2.765	0	2	1
50	ATRX	379.902	0	109	4
50	CDKN2A	379.902	0	109	4
50	PIK3CD	379.902	1	109	4
50	TP53	379.902	1	109	4
50	PCDH11Y	12.106	0	5	1
50	PRKY	3.180	0	2	1
50	RALGDS	2.630	0	2	1
50	TRPV6	2.684	0	2	1
50	ZNF569	28.349	0	11	1
51	CDK4	560.947	1	173	10
51	EGFR	560.947	1	173	10
51	IKZF1	560.947	0	173	10
51	PIK3CA	560.947	0	173	10
51	TP53	560.947	1	173	10
51	ITGAM	560.947	0	173	10
51	TGFBR1	560.947	0	173	10
51	DCTN2	560.947	0	173	10
51	KIT	560.947	1	173	10
51	WNT2B	560.947	0	173	10
52	ATR	3.822	0	2	1
52	CDKN2A	530.922	0	152	6
52	GABRA6	530.922	0	152	6
52	GABRB2	530.922	0	152	6
52	HLA-DRB1	530.922	1	152	6
52	LRP2	530.922	0	152	6
52	HSPG2	530.922	0	152	6
52	MCM7	5.543	0	3	1
53	CDKN2A	322.538	0	92	4
53	EGFR	322.538	1	92	4
53	EZR	322.538	0	92	4
53	LRP1	322.538	0	92	4
53	KCNB2	5.539	0	3	1
53	PCDHB4	13.647	0	5	1
54	CACNA1S	5.964	0	3	1
54	NCAN	238.085	0	64	5
54	VCAN	238.085	1	64	5
54	PTEN	238.085	0	64	5
54	PTPN6	238.085	0	64	5
54	RIMS2	238.085	1	64	5
54	PCDH11Y	7.764	0	3	1
54	PRKY	10.572	0	4	1
54	RNF8	8.789	0	4	1
54	SMARCA2	12.843	0	5	1
55	CACNA1D	25.907	0	9	1
55	CDH23	282.464	0	80	7
55	EGFR	282.464	1	80	7
55	KDR	282.464	0	80	7
55	PTEN	282.464	0	80	7
55	CTNNB1	282.464	0	80	7
55	HLA-DRB1	282.464	0	80	7
55	NFATC1	282.464	0	80	7
55	ZNF274	2.947	0	2	1
56	COL1A2	2.707	0	2	1
56	HLA-DRB1	5.750	0	3	1
56	PCDH11Y	3.766	0	3	2
56	PCDH9	3.766	0	3	2
56	PLCG2	41.437	0	16	2
56	PRKY	41.437	0	16	2
56	TGFBR1	2.503	0	2	1
57	CDKN2A	2.504	0	2	1
57	EGFR	77.883	1	23	1
57	HLA-DRB1	12.906	0	5	1
58	ATN1	3.973	0	2	1
58	KALRN	256.137	0	73	4
58	KDR	256.137	0	73	4
58	PIK3R1	256.137	0	73	4
58	TP53	256.137	0	73	4
58	PCDH11Y	8.605	0	6	3
58	PCDHAC2	8.605	0	6	3
58	PCDHGC5	8.605	0	6	3
58	PRKY	3.130	0	2	1
59	ATRX	439.965	0	127	11
59	CDK4	439.965	1	127	11
59	MAPK13	439.965	0	127	11
59	MDM4	439.965	0	127	11
59	PSMB8	439.965	1	127	11
59	RNF8	439.965	0	127	11
59	SRPK1	439.965	1	127	11
59	TP53	439.965	0	127	11
59	SLC26A8	439.965	0	127	11
59	PIK3R1	439.965	0	127	11
59	CEP250	439.965	0	127	11
59	PCDHAC2	6.993	0	3	1
60	CACNA1E	620.222	0	156	2
60	TP53	620.222	0	156	2
61	EGFR	59.285	1	18	1
61	NLRP12	3.587	0	2	1
61	PSMA5	9.760	0	4	1
62	CDKN2A	3.530	0	2	1
62	EGFR	182.583	1	56	3
62	PIK3R1	182.583	0	56	3
62	HLA-DRB1	182.583	0	56	3
62	PCDHA10	3.377	0	3	2
62	PCDHA8	3.377	0	3	2
63	DOCK2	2.520	0	2	1
63	EGFR	227.762	0	58	4
63	ITGAM	227.762	0	58	4
63	LAMA5	227.762	0	58	4
63	NOS1	227.762	0	58	4
63	KCNG1	5.356	0	3	1
63	PIK3C2G	4.793	0	2	1
64	CCT2	15.139	0	6	1
64	FRS2	98.377	0	30	2
64	PTEN	98.377	0	30	2
65	HLA-DRB1	826.929	1	206	1
66	KIFC3	8.727	0	3	1
66	SLC18A2	101.765	0	25	1
67	CFB	33.832	0	10	1
67	HLA-DRB1	110.881	0	33	1
68	COL6A2	17.232	0	8	3
68	ITGA4	17.232	0	8	3
68	EGFR	17.232	0	8	3
69	EGFR	247.897	1	61	2
69	KIT	247.897	0	61	2
69	PCDHA10	4.414	0	2	1
69	PIK3C2B	8.739	1	3	1
70	CDK4	28.172	1	10	3
70	CHEK1	28.172	0	10	3
70	PRKCD	28.172	0	10	3
70	DCTN2	11.790	0	4	1
70	EGFR	254.777	1	66	5
70	GABRA1	254.777	1	66	5
70	SLC6A3	254.777	0	66	5
70	LAMA2	254.777	1	66	5
70	PIK3C2G	254.777	0	66	5
70	FAT2	4.276	0	4	3
70	PCDH15	4.276	0	4	3
70	PCDHAC2	4.276	0	4	3
70	SCML2	2.819	0	2	1
70	TAP1	47.304	1	15	1
72	AKT1	314.972	1	76	2
72	EGFR	314.972	1	76	2
72	HLA-DRB1	14.540	0	5	1
73	CACNA1I	217.525	0	54	4
73	EGFR	217.525	1	54	4
73	RAB3GAP2	217.525	0	54	4
73	FRS2	217.525	1	54	4
73	CCT2	47.547	1	14	3
73	CDK4	47.547	1	14	3
73	NEK2	47.547	0	14	3
73	CD8A	12.560	0	5	1
73	PCDHGC5	9.022	0	3	1
74	CREBBP	281.582	0	78	5
74	EGFR	281.582	1	78	5
74	DOCK2	281.582	0	78	5
74	LRP1	281.582	0	78	5
74	PIK3C2G	281.582	0	78	5
74	KLC2	18.525	0	6	1
74	PCDHGC5	10.474	0	4	1
75	AKAP8	4.013	0	2	1
75	EGFR	270.649	0	67	3
75	PTEN	270.649	0	67	3
75	KIT	270.649	0	67	3
75	MYF5	14.208	0	5	1
75	PCDHGC5	14.453	0	4	1
75	PPP3CB	3.797	0	2	1
75	PRKCQ	2.625	0	2	1
76	EGFR	211.313	0	58	2
76	TUBGCP5	211.313	0	58	2
77	DNAH9	335.328	0	92	6
77	EGFR	335.328	1	92	6
77	MDM4	335.328	1	92	6
77	PIK3C2B	335.328	1	92	6
77	PTEN	335.328	0	92	6
77	IGF1R	335.328	0	92	6
78	COL6A6	247.482	0	71	3
78	EGFR	247.482	1	71	3
78	LAMB1	247.482	0	71	3
78	PCDHGC5	4.122	0	2	1
79	COL4A5	123.908	0	39	4
79	PTEN	123.908	0	39	4
79	RASGRF1	123.908	0	39	4
79	PIK3CA	123.908	0	39	4
79	MYOD1	3.186	0	2	1
81	FGFR3	86.586	0	29	4
81	ITGAV	86.586	0	29	4
81	PTEN	86.586	0	29	4
81	RBBP4	86.586	0	29	4
81	LRP8	18.469	0	7	1
81	PCDHAC2	2.658	0	4	3
81	PCDHB13	2.658	0	4	3
81	SVEP1	2.658	0	4	3
81	SGOL2	18.801	0	7	1
82	FAT2	12.964	0	5	1
82	IL7	121.503	0	36	1
82	MED13	5.603	0	3	1
83	COL6A6	138.253	0	42	5
83	NOS3	138.253	0	42	5
83	PIK3CA	138.253	0	42	5
83	PTPN11	138.253	0	42	5
83	RIMS2	138.253	1	42	5
84	ANK1	384.948	0	136	29
84	FAS	384.948	0	136	29
84	BTRC	384.948	0	136	29
84	BUB3	384.948	0	136	29
84	CDK4	384.948	1	136	29
84	DNMBP	384.948	0	136	29
84	ERBB3	384.948	0	136	29
84	ITGB1	384.948	0	136	29
84	MAPK8	384.948	0	136	29
84	RIMS2	384.948	1	136	29
84	SLC18A2	384.948	0	136	29
84	VLDLR	384.948	0	136	29
84	TCF7L2	384.948	0	136	29
84	LAMC3	384.948	0	136	29
84	LRP1	384.948	0	136	29
84	PTEN	384.948	0	136	29
84	DNAH9	384.948	0	136	29
84	PIK3CG	384.948	0	136	29
84	SDCCAG8	384.948	1	136	29
84	PLAU	384.948	0	136	29
84	JAK2	384.948	0	136	29
84	EPC1	384.948	0	136	29
84	IFNG	384.948	0	136	29
84	SMARCA2	384.948	0	136	29
84	SMARCC2	384.948	0	136	29
84	STAT6	384.948	0	136	29
84	FGFR2	384.948	0	136	29
84	FLT1	384.948	0	136	29
84	PSIP1	384.948	0	136	29
84	CDH23	4.052	0	3	2
84	CDH9	4.052	0	3	2
84	GRK5	15.421	0	5	1
84	KCNV2	5.078	0	3	1
85	BCAR1	437.506	0	145	29
85	BTRC	437.506	0	145	29
85	BUB3	437.506	0	145	29
85	CDC2	437.506	1	145	29
85	DNMBP	437.506	0	145	29
85	EGFR	437.506	0	145	29
85	FGFR2	437.506	0	145	29
85	SLC18A2	437.506	0	145	29
85	CDK4	437.506	1	145	29
85	VIM	437.506	0	145	29
85	ZWINT	437.506	1	145	29
85	ITGB1	437.506	0	145	29
85	TCF7L2	437.506	0	145	29
85	ITGA8	437.506	0	145	29
85	LAMA3	437.506	0	145	29
85	NOS3	437.506	0	145	29
85	PDGFRA	437.506	1	145	29
85	PTEN	437.506	0	145	29
85	PLAU	437.506	0	145	29
85	VAV2	437.506	0	145	29
85	CEP135	437.506	0	145	29
85	DCTN2	437.506	1	145	29
85	PRKCQ	437.506	0	145	29
85	MAPK8	437.506	0	145	29
85	EPC1	437.506	0	145	29
85	IFNG	437.506	0	145	29
85	CALML5	437.506	0	145	29
85	KIT	437.506	0	145	29
85	PRKG1	437.506	0	145	29
85	CDH23	4.089	0	4	3
85	PCDH15	4.089	0	4	3
85	PCDHGC5	4.089	0	4	3
85	FAS	2.610	0	2	1
86	BCAR1	116.531	0	32	3
86	PIK3CG	116.531	0	32	3
86	PTEN	116.531	0	32	3
86	KCNV2	6.485	0	3	1
87	CDH17	13.702	0	5	1
87	CDK4	66.343	1	18	1
88	CDC2L1	366.557	0	111	7
88	FLNC	366.557	0	111	7
88	HLA-A	366.557	0	111	7
88	MET	366.557	0	111	7
88	TP53	366.557	0	111	7
88	PIK3CG	366.557	0	111	7
88	PTEN	366.557	0	111	7
88	CHP2	3.358	0	2	1
88	GNAT3	17.092	0	5	1
88	PCDHGC5	4.159	0	2	1
88	TSGA14	3.650	0	2	1
89	CACNA1I	15.982	0	7	2
89	PRKCB	15.982	0	7	2
89	CELSR1	3.561	0	2	1
89	EGFR	153.750	1	41	3
89	LAMB4	153.750	0	41	3
89	MLLT4	153.750	0	41	3
89	EP300	37.429	0	13	2
89	MCM5	37.429	0	13	2
89	PPARA	6.247	0	3	1
89	STAT1	9.165	0	4	1
89	YWHAH	7.008	1	2	1
90	FRS2	168.868	1	44	4
90	RAB3IP	168.868	0	44	4
90	PTEN	168.868	0	44	4
90	RAN	168.868	0	44	4
90	FZD10	24.375	0	7	1
90	IFNG	11.977	0	4	1
91	COL14A1	150.329	0	45	5
91	ITGAM	150.329	0	45	5
91	PTEN	150.329	0	45	5
91	RIMS2	150.329	0	45	5
91	PTPRB	150.329	0	45	5
91	LRP2	3.678	0	2	1
92	HLA-DRB1	339.412	0	97	2
92	TP53	339.412	0	97	2
93	CDC2L1	552.142	0	159	7
93	LAMA1	552.142	0	159	7
93	PIK3CG	552.142	0	159	7
93	PIK3R1	552.142	0	159	7
93	TP53	552.142	0	159	7
93	PTEN	552.142	0	159	7
93	SGOL2	552.142	0	159	7
94	GABRB3	544.505	0	157	9
94	GRIN2A	544.505	0	157	9
94	MAPK13	544.505	0	157	9
94	PLCG1	544.505	0	157	9
94	PTEN	544.505	0	157	9
94	PGR	544.505	0	157	9
94	SMARCC2	544.505	0	157	9
94	KIT	544.505	0	157	9
94	PCM1	544.505	0	157	9
95	CDKN1B	183.753	0	58	6
95	TP53	183.753	0	58	6
95	HDAC2	183.753	0	58	6
95	HLA-DRB1	183.753	0	58	6
95	PLCG1	183.753	0	58	6
95	PIK3C2G	183.753	0	58	6
95	CNTN1	2.848	0	2	1
95	COL2A1	5.370	0	3	1
96	TP53	210.140	0	63	1
98	CTNNA2	15.405	1	5	2
98	PCDHGC5	15.405	0	5	2
98	PIK3C2B	3.536	0	2	1
98	PIK3CA	369.262	0	105	3
98	TP53	369.262	0	105	3
98	RYR1	369.262	0	105	3
99	CDC2L1	3.548	0	2	1
99	COL1A2	136.131	0	41	4
99	EGFR	136.131	1	41	4
99	PDGFRA	136.131	1	41	4
99	NCAN	136.131	0	41	4
99	GABBR2	29.072	1	8	1
99	PCDHGC5	6.462	0	3	1
100	ATRX	282.215	1	79	6
100	ITGB4	282.215	0	79	6
100	TCF7L2	282.215	0	79	6
100	TP53	282.215	0	79	6
100	PIK3C2G	282.215	0	79	6
100	PDGFRA	282.215	0	79	6
101	IL12RB2	186.115	0	60	3
101	PTK2B	186.115	0	60	3
101	PDGFRA	186.115	1	60	3
102	CEP70	11.446	0	4	1
102	EGFR	191.296	1	50	2
102	SHB	191.296	0	50	2
103	COL11A2	7.981	0	4	1
103	PCDHGC5	11.425	0	5	1
104	ACVR1B	6.803	0	3	1
104	ATRX	120.475	0	42	7
104	CDK4	120.475	1	42	7
104	TP53	120.475	0	42	7
104	PDGFRA	120.475	0	42	7
104	CDK6	120.475	0	42	7
104	DCTN2	120.475	0	42	7
104	KIT	120.475	0	42	7
104	GRASP	26.514	0	8	1
105	AKT1	237.985	0	68	4
105	DYNC1H1	237.985	0	68	4
105	EGFR	237.985	1	68	4
105	TP53	237.985	0	68	4
105	PCDHAC2	3.840	0	2	1
106	CCNF	76.114	0	25	2
106	TP53	76.114	0	25	2
106	PCDHGC5	5.575	0	3	1
106	TJP1	16.392	0	6	1
108	CELSR3	8.193	0	3	1
108	KIT	186.887	1	51	3
108	PDGFRA	186.887	1	51	3
108	TP53	186.887	0	51	3
108	SRI	5.346	0	3	1
109	COL6A2	614.787	1	159	8
109	FBN2	614.787	1	159	8
109	KIT	614.787	1	159	8
109	TP53	614.787	0	159	8
109	DRD5	614.787	0	159	8
109	FGFR3	614.787	0	159	8
109	RIMS2	614.787	1	159	8
109	PIAS1	614.787	0	159	8
110	EGFR	523.185	1	149	5
110	ITGA4	523.185	0	149	5
110	MAP4K1	523.185	0	149	5
110	FGF18	523.185	0	149	5
110	ZNF3	523.185	0	149	5
110	KCNB2	5.805	0	3	1
110	RASGRF1	2.808	0	2	1
111	CHEK1	261.873	0	75	4
111	COL1A2	261.873	0	75	4
111	DRD5	261.873	0	75	4
111	HCK	261.873	1	75	4
111	PCDHB6	3.966	0	2	1
112	MCM4	38.673	0	13	1
112	PCDH7	6.339	0	3	1
112	PLCG1	70.604	0	20	1
113	ANK2	222.072	0	65	5
113	EGFR	222.072	0	65	5
113	F8	222.072	0	65	5
113	PLG	222.072	0	65	5
113	LAMA2	222.072	0	65	5
113	BRCA1	6.227	0	3	1
113	CACNA1C	3.138	0	3	2
113	CACNA1I	3.138	0	3	2
113	PCDH15	9.520	0	4	1
113	RXRA	2.961	0	2	1
114	EGFR	394.617	0	102	2
114	GABRB3	394.617	0	102	2
114	KCNB2	5.842	0	3	1
115	CCNE2	81.056	0	26	5
115	CDK4	81.056	1	26	5
115	DCTN2	81.056	0	26	5
115	IFNG	81.056	0	26	5
115	STAT6	81.056	0	26	5
115	COL14A1	42.222	0	13	1
115	GABRG2	22.019	1	6	1
115	HLA-DRB1	5.439	0	3	1
115	MRE11A	2.773	0	2	1
115	PCDHAC2	5.796	0	3	1
116	COL1A2	24.480	0	10	2
116	FLNA	24.480	0	10	2
116	EGFR	210.493	1	55	4
116	PLCG1	210.493	0	55	4
116	MCM4	210.493	0	55	4
116	TP53	210.493	0	55	4
116	PCDHAC2	3.919	0	2	1
117	ATR	87.831	0	28	2
117	TP53	87.831	0	28	2
117	FGFR3	27.962	0	7	1
117	PCDHAC2	10.060	0	4	1
117	RIMS2	37.443	0	10	1
118	AKAP6	221.756	0	64	4
118	BCL2	221.756	0	64	4
118	EGFR	221.756	1	64	4
118	ITGB4	221.756	0	64	4
118	PCDHB13	9.869	0	4	1
119	ANAPC1	310.415	0	88	5
119	HLA-DRB1	310.415	0	88	5
119	CDK5RAP2	310.415	0	88	5
119	EGFR	310.415	1	88	5
119	LAMA3	310.415	0	88	5
119	CACNA1C	3.160	0	2	1
119	EEF1A1	4.957	0	2	1
119	PCDH15	4.102	0	2	1
120	CREBBP	11.692	0	5	1
120	EGFR	37.148	0	13	1
121	CNTN2	171.842	0	49	4
121	EGFR	171.842	1	49	4
121	RABIF	171.842	0	49	4
121	PIK3C2B	171.842	0	49	4
121	GABRA5	29.639	0	8	1
121	PCDH11X	3.685	0	3	2
121	PCDHA10	3.685	0	3	2
122	ACAN	308.561	0	86	5
122	AMPH	308.561	1	86	5
122	TP53	308.561	0	86	5
