GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
FAS	0.012	0.000	0.012	0.000	N	NA	3.4656391909	0.024	0.000	0.024	0.000
LAMB3	0.009	0.009	0.000	0.000	N	NA	3.4580218560	0.012	0.012	0.000	0.000
CDC2	0.009	0.000	0.009	0.000	N	NA	3.4084044495	0.009	0.000	0.009	0.000
FGFR1	0.009	0.009	0.000	0.000	Y	NA	3.3625040944	0.012	0.012	0.000	0.000
LAMA2	0.012	0.012	0.000	0.000	N	NA	3.3600261374	0.018	0.018	0.000	0.000
LAMC1	0.006	0.006	0.000	0.000	N	NA	3.3265851953	0.006	0.006	0.000	0.000
MDM2	0.012	0.000	0.000	0.012	Y	NA	3.2202627663	0.076	0.006	0.000	0.070
IKZF1	0.015	0.006	0.000	0.009	Y	NA	3.2114072549	0.030	0.006	0.000	0.024
ERBB2	0.018	0.018	0.000	0.000	Y	NA	3.1247216975	0.021	0.021	0.000	0.000
PIK3C2B	0.015	0.000	0.000	0.015	N	NA	3.1225538778	0.055	0.012	0.000	0.046
MET	0.012	0.006	0.000	0.006	Y	NA	3.1099857797	0.030	0.015	0.000	0.015
RELN	0.018	0.015	0.000	0.003	N	NA	3.1096287771	0.046	0.040	0.000	0.006
ACTB	0.006	0.000	0.000	0.006	N	NA	3.1040590968	0.012	0.000	0.000	0.012
FGFR3	0.009	0.006	0.000	0.003	Y	NA	3.0914079665	0.015	0.012	0.000	0.003
HNRNPA2B1	0.006	0.000	0.000	0.006	Y	NA	2.9706690144	0.012	0.000	0.000	0.012
ADCYAP1R1	0.006	0.000	0.000	0.006	N	NA	2.9403825521	0.018	0.003	0.000	0.015
ERBB3	0.009	0.003	0.003	0.003	N	NA	2.9348572924	0.012	0.003	0.003	0.006
ANK2	0.012	0.012	0.000	0.000	N	NA	2.8941404308	0.030	0.030	0.000	0.000
ATN1	0.009	0.009	0.000	0.000	N	NA	2.8929283099	0.015	0.009	0.000	0.006
BUB3	0.009	0.000	0.009	0.000	N	NA	2.8565306330	0.021	0.000	0.021	0.000
FLNA	0.015	0.012	0.003	0.000	N	NA	2.8082305355	0.018	0.012	0.003	0.003
PTPRB	0.012	0.003	0.000	0.009	N	NA	2.7391634091	0.021	0.006	0.000	0.015
ITGA8	0.012	0.003	0.006	0.003	N	NA	2.7239226482	0.015	0.003	0.009	0.003
HOXA9	0.006	0.000	0.000	0.006	Y	NA	2.7118128918	0.015	0.003	0.000	0.012
HDAC2	0.009	0.009	0.000	0.000	N	NA	2.7021374687	0.012	0.009	0.003	0.000
FLI1	0.003	0.003	0.000	0.000	Y	NA	2.6273005510	0.009	0.009	0.000	0.000
MLLT4	0.006	0.003	0.003	0.000	Y	NA	2.6067653534	0.015	0.012	0.003	0.000
ITGB3	0.009	0.009	0.000	0.000	N	NA	2.5770723724	0.012	0.012	0.000	0.000
DNAH9	0.018	0.018	0.000	0.000	N	NA	2.5573476882	0.027	0.027	0.000	0.000
FLT1	0.009	0.009	0.000	0.000	N	NA	2.5487050370	0.018	0.015	0.003	0.000
PRKDC	0.015	0.015	0.000	0.000	N	NA	2.5339401752	0.021	0.021	0.000	0.000
SFN	0.003	0.003	0.000	0.000	N	NA	2.5282180188	0.003	0.003	0.000	0.000
COL2A1	0.009	0.003	0.003	0.003	N	NA	2.4166974106	0.009	0.003	0.003	0.003
MAPK8	0.006	0.000	0.006	0.000	N	NA	2.3621226738	0.018	0.003	0.015	0.000
ACTN1	0.006	0.006	0.000	0.000	N	NA	2.3561937501	0.006	0.006	0.000	0.000
CREBBP	0.012	0.012	0.000	0.000	Y	NA	2.3500594374	0.015	0.015	0.000	0.000
LAMB1	0.009	0.009	0.000	0.000	N	NA	2.3488414428	0.015	0.009	0.000	0.006
SRPK1	0.003	0.003	0.000	0.000	N	NA	2.3475516818	0.009	0.006	0.000	0.003
BCLAF1	0.006	0.006	0.000	0.000	N	NA	2.3346453641	0.015	0.015	0.000	0.000
TTN	0.015	0.015	0.000	0.000	N	NA	2.3326427232	0.207	0.207	0.000	0.000
TSC2	0.006	0.006	0.000	0.000	Y	NA	2.3215412483	0.012	0.012	0.000	0.000
PRKX	0.006	0.003	0.003	0.000	N	NA	2.3117276844	0.006	0.003	0.003	0.000
CUBN	0.006	0.006	0.000	0.000	N	NA	2.2954704113	0.024	0.012	0.009	0.003
FRS2	0.012	0.000	0.000	0.012	N	NA	2.2889708539	0.024	0.000	0.000	0.024
ITGB8	0.006	0.000	0.000	0.006	N	NA	2.2680784892	0.015	0.003	0.000	0.012
RERE	0.012	0.012	0.000	0.000	N	NA	2.2454853454	0.027	0.018	0.009	0.000
PLAU	0.006	0.000	0.006	0.000	N	NA	2.2272848817	0.021	0.000	0.021	0.000
ITGA4	0.009	0.009	0.000	0.000	N	NA	2.2261160427	0.009	0.009	0.000	0.000
LYN	0.006	0.006	0.000	0.000	N	NA	2.1600153294	0.009	0.009	0.000	0.000
PLCG1	0.012	0.012	0.000	0.000	N	NA	2.1439233558	0.012	0.012	0.000	0.000
COL14A1	0.009	0.009	0.000	0.000	N	NA	2.1269422381	0.015	0.015	0.000	0.000
ABL1	0.006	0.006	0.000	0.000	Y	NA	2.1035434819	0.006	0.006	0.000	0.000
ADAM12	0.009	0.003	0.006	0.000	N	NA	2.1031956699	0.024	0.006	0.018	0.000
CDH23	0.021	0.009	0.012	0.000	N	NA	2.0771410564	0.030	0.009	0.021	0.000
PGR	0.006	0.006	0.000	0.000	N	NA	2.0507838369	0.018	0.018	0.000	0.000
PIK3CB	0.003	0.003	0.000	0.000	N	NA	2.0361336217	0.009	0.006	0.000	0.003
FOS	0.003	0.003	0.000	0.000	N	NA	2.0361336217	0.003	0.003	0.000	0.000
KDR	0.006	0.003	0.000	0.003	Y	NA	2.0192945469	0.064	0.027	0.000	0.040
MMP7	0.006	0.006	0.000	0.000	N	NA	1.9970197944	0.006	0.006	0.000	0.000
ZNF3	0.006	0.003	0.000	0.003	N	NA	1.9870942990	0.012	0.006	0.000	0.006
EGF	0.006	0.006	0.000	0.000	N	NA	1.9868808064	0.009	0.009	0.000	0.000
PXN	0.006	0.003	0.000	0.003	N	NA	1.9608187427	0.006	0.003	0.000	0.003
SMAD4	0.006	0.006	0.000	0.000	N	NA	1.9564447388	0.006	0.006	0.000	0.000
DNMT1	0.006	0.003	0.000	0.003	N	NA	1.9507540855	0.006	0.003	0.000	0.003
AKT1	0.009	0.003	0.000	0.006	Y	NA	1.9480977791	0.012	0.003	0.000	0.009
CTNNB1	0.006	0.006	0.000	0.000	Y	NA	1.9312760964	0.006	0.006	0.000	0.000
DMD	0.006	0.006	0.000	0.000	N	NA	1.9214068520	0.040	0.034	0.003	0.003
PPIA	0.006	0.000	0.000	0.006	N	NA	1.9064693174	0.018	0.000	0.000	0.018
CHEK1	0.006	0.006	0.000	0.000	N	NA	1.8916429301	0.012	0.012	0.000	0.000
SYNJ2	0.006	0.006	0.000	0.000	N	NA	1.8893590076	0.009	0.009	0.000	0.000
ASPM	0.009	0.009	0.000	0.000	N	NA	1.8830300536	0.015	0.015	0.000	0.000
BRCA1	0.009	0.009	0.000	0.000	Y	NA	1.8521210703	0.012	0.012	0.000	0.000
LAMA4	0.006	0.003	0.003	0.000	N	NA	1.8471488341	0.006	0.003	0.003	0.000
CNOT2	0.006	0.000	0.000	0.006	N	NA	1.8445407818	0.021	0.003	0.000	0.021
FGFR2	0.009	0.003	0.003	0.003	Y	NA	1.8430964300	0.027	0.003	0.021	0.003
RALA	0.009	0.000	0.000	0.009	N	NA	1.8240654513	0.012	0.000	0.000	0.012
ATR	0.009	0.009	0.000	0.000	N	NA	1.8125641606	0.018	0.015	0.000	0.003
SREBF1	0.003	0.003	0.000	0.000	N	NA	1.8050830583	0.003	0.003	0.000	0.000
HLA-DRA	0.003	0.003	0.000	0.000	N	NA	1.7661226125	0.003	0.003	0.000	0.000
ERG	0.006	0.006	0.000	0.000	Y	NA	1.7554035400	0.012	0.009	0.003	0.000
MORF4L1	0.003	0.003	0.000	0.000	N	NA	1.7379197011	0.003	0.003	0.000	0.000
GLI3	0.006	0.006	0.000	0.000	N	NA	1.7252289071	0.018	0.006	0.000	0.012
PTPN11	0.009	0.009	0.000	0.000	Y	NA	1.7226777502	0.012	0.012	0.000	0.000
MAPK1	0.006	0.003	0.003	0.000	N	NA	1.7003727450	0.009	0.006	0.003	0.000
PLG	0.006	0.003	0.003	0.000	N	NA	1.6906096776	0.009	0.006	0.003	0.000
FBLN2	0.006	0.006	0.000	0.000	N	NA	1.6791062352	0.018	0.018	0.000	0.000
FOXG1	0.003	0.003	0.000	0.000	N	NA	1.6692547801	0.009	0.009	0.000	0.000
FCER1A	0.003	0.003	0.000	0.000	N	NA	1.6692547801	0.006	0.006	0.000	0.000
ITGAX	0.009	0.009	0.000	0.000	N	NA	1.6655878187	0.018	0.018	0.000	0.000
NUMA1	0.009	0.009	0.000	0.000	Y	NA	1.6592806320	0.012	0.012	0.000	0.000
CBL	0.006	0.006	0.000	0.000	Y	NA	1.6527237392	0.006	0.006	0.000	0.000
EP300	0.006	0.003	0.003	0.000	Y	NA	1.6302285530	0.009	0.006	0.003	0.000
GRAP2	0.006	0.003	0.003	0.000	N	NA	1.6086360039	0.006	0.003	0.003	0.000
AKAP9	0.012	0.009	0.000	0.003	Y	NA	1.5919882309	0.027	0.015	0.000	0.012
PCDH11Y	0.186	0.012	0.183	0.000	N	NA	1.5888099200	0.198	0.015	0.192	0.000
NOS1	0.009	0.009	0.000	0.000	N	NA	1.5775395870	0.018	0.015	0.000	0.003
IKZF3	0.006	0.006	0.000	0.000	N	NA	1.5706481040	0.006	0.006	0.000	0.000
E2F4	0.003	0.003	0.000	0.000	N	NA	1.5609851138	0.003	0.003	0.000	0.000
ESR1	0.003	0.003	0.000	0.000	N	NA	1.5609851138	0.003	0.003	0.000	0.000
PPP2R1B	0.003	0.003	0.000	0.000	N	NA	1.5609851138	0.006	0.006	0.000	0.000
CHEK2	0.006	0.006	0.000	0.000	Y	NA	1.5211523028	0.024	0.024	0.000	0.000
KIF5A	0.003	0.000	0.000	0.003	N	NA	1.4963104940	0.064	0.000	0.003	0.061
SMARCA4	0.003	0.003	0.000	0.000	Y	NA	1.4963104940	0.003	0.003	0.000	0.000
CEP135	0.012	0.000	0.000	0.012	N	NA	1.4852685896	0.027	0.003	0.003	0.021
DLG4	0.003	0.003	0.000	0.000	N	NA	1.4733007438	0.009	0.009	0.000	0.000
COL6A2	0.009	0.009	0.000	0.000	N	NA	1.4421322149	0.027	0.027	0.000	0.000
DRD5	0.009	0.009	0.000	0.000	N	NA	1.4401021744	0.027	0.027	0.000	0.000
CNTNAP1	0.006	0.006	0.000	0.000	N	NA	1.4326598756	0.006	0.006	0.000	0.000
MAPKAPK3	0.003	0.003	0.000	0.000	N	NA	1.4308470075	0.003	0.003	0.000	0.000
SGOL1	0.003	0.003	0.000	0.000	N	NA	1.4308470075	0.003	0.003	0.000	0.000
TFAP2B	0.003	0.003	0.000	0.000	N	NA	1.4308470075	0.006	0.003	0.003	0.000
F2	0.003	0.003	0.000	0.000	N	NA	1.4142414711	0.006	0.006	0.000	0.000
ERBB4	0.003	0.003	0.000	0.000	N	NA	1.4142414711	0.003	0.003	0.000	0.000
SRC	0.006	0.006	0.000	0.000	N	NA	1.4053257520	0.006	0.006	0.000	0.000
PRKACG	0.003	0.000	0.003	0.000	N	NA	1.3885168827	0.003	0.000	0.003	0.000
RASA1	0.003	0.000	0.003	0.000	N	NA	1.3885168827	0.003	0.000	0.003	0.000
MAPK8IP1	0.003	0.000	0.003	0.000	N	NA	1.3885168827	0.006	0.003	0.003	0.000
NCAPH	0.003	0.000	0.000	0.003	N	NA	1.3885168827	0.003	0.000	0.000	0.003
PTBP1	0.003	0.000	0.003	0.000	N	NA	1.3885168827	0.009	0.003	0.003	0.003
ING3	0.003	0.000	0.000	0.003	N	NA	1.3831941845	0.015	0.000	0.000	0.015
NOS3	0.003	0.003	0.000	0.000	N	NA	1.3768729943	0.027	0.018	0.000	0.012
MED13	0.006	0.006	0.000	0.000	N	NA	1.3743080796	0.009	0.009	0.000	0.000
PSMB8	0.003	0.003	0.000	0.000	N	NA	1.3611729798	0.006	0.006	0.000	0.000
MAP4K1	0.003	0.003	0.000	0.000	N	NA	1.3582086138	0.009	0.006	0.000	0.003
IGF2R	0.003	0.003	0.000	0.000	N	NA	1.3448211990	0.006	0.006	0.000	0.000
DFFB	0.003	0.000	0.003	0.000	N	NA	1.3414336398	0.009	0.000	0.009	0.000
CRKL	0.003	0.003	0.000	0.000	N	NA	1.3414336398	0.006	0.003	0.003	0.000
PIAS1	0.003	0.003	0.000	0.000	N	NA	1.3356260127	0.003	0.003	0.000	0.000
PRKCA	0.003	0.003	0.000	0.000	N	NA	1.3272482468	0.006	0.006	0.000	0.000
PRKCG	0.006	0.006	0.000	0.000	N	NA	1.3051622060	0.006	0.006	0.000	0.000
TARDBP	0.003	0.000	0.000	0.003	N	NA	1.2978007289	0.006	0.000	0.003	0.003
GNG12	0.003	0.000	0.000	0.003	N	NA	1.2978007289	0.003	0.000	0.000	0.003
RYR2	0.027	0.027	0.000	0.000	N	NA	1.2826559892	0.079	0.079	0.000	0.000
B2M	0.003	0.003	0.000	0.000	N	NA	1.2800182809	0.003	0.003	0.000	0.000
AKT3	0.003	0.000	0.000	0.003	N	NA	1.2764084030	0.006	0.000	0.000	0.006
IGFBP3	0.009	0.000	0.000	0.009	N	NA	1.2728569482	0.018	0.000	0.000	0.018
POLR2A	0.003	0.003	0.000	0.000	N	NA	1.2686181491	0.006	0.006	0.000	0.000
CACNB3	0.003	0.000	0.000	0.003	N	NA	1.2631022824	0.015	0.006	0.003	0.006
SMARCC2	0.003	0.000	0.000	0.003	N	NA	1.2631022824	0.015	0.006	0.003	0.006
CACNA1H	0.027	0.009	0.018	0.000	N	NA	1.2404396626	0.043	0.012	0.030	0.000
PSMD4	0.003	0.003	0.000	0.000	N	NA	1.2354658932	0.003	0.003	0.000	0.000
CDH5	0.003	0.003	0.000	0.000	N	NA	1.2295771272	0.006	0.006	0.000	0.000
NTRK3	0.003	0.003	0.000	0.000	Y	NA	1.2294256749	0.006	0.006	0.000	0.000
RABIF	0.003	0.000	0.000	0.003	N	NA	1.2250480995	0.006	0.000	0.000	0.006
MYOG	0.003	0.000	0.000	0.003	N	NA	1.2250480995	0.006	0.000	0.000	0.006
TEK	0.003	0.000	0.003	0.000	N	NA	1.2250480995	0.064	0.015	0.049	0.000
SCML2	0.006	0.006	0.000	0.000	N	NA	1.2172019738	0.006	0.006	0.000	0.000
RAC1	0.003	0.000	0.000	0.003	N	NA	1.2024628510	0.006	0.000	0.000	0.006
INSR	0.003	0.003	0.000	0.000	N	NA	1.1973583861	0.006	0.006	0.000	0.000
ITGA10	0.006	0.006	0.000	0.000	N	NA	1.1934787944	0.009	0.009	0.000	0.000
HLA-A	0.003	0.000	0.003	0.000	N	NA	1.1801354127	0.009	0.000	0.009	0.000
MCM6	0.006	0.006	0.000	0.000	N	NA	1.1739776489	0.009	0.006	0.000	0.003
DSP	0.003	0.003	0.000	0.000	N	NA	1.1372229216	0.030	0.030	0.000	0.000
VLDLR	0.003	0.003	0.000	0.000	N	NA	1.1334646096	0.012	0.003	0.009	0.000
VAV2	0.003	0.003	0.000	0.000	N	NA	1.1315353058	0.009	0.009	0.000	0.000
HLA-DOA	0.003	0.003	0.000	0.000	N	NA	1.1311290760	0.003	0.003	0.000	0.000
PDGFRB	0.003	0.003	0.000	0.000	Y	NA	1.1152210951	0.012	0.012	0.000	0.000
GABRA4	0.003	0.003	0.000	0.000	N	NA	1.1064100096	0.012	0.012	0.000	0.000
RPN1	0.003	0.003	0.000	0.000	Y	NA	1.0984787754	0.003	0.003	0.000	0.000
NBN	0.003	0.003	0.000	0.000	N	NA	1.0984787754	0.003	0.003	0.000	0.000
BCAR1	0.003	0.003	0.000	0.000	N	NA	1.0984787754	0.009	0.006	0.003	0.000
ETS2	0.003	0.000	0.003	0.000	N	NA	1.0829377969	0.003	0.000	0.003	0.000
SMC3	0.003	0.000	0.003	0.000	N	NA	1.0829377969	0.024	0.009	0.015	0.000
NAP1L1	0.003	0.003	0.000	0.000	N	NA	1.0769691652	0.009	0.003	0.000	0.006
TUBG1	0.003	0.003	0.000	0.000	N	NA	1.0769691652	0.006	0.006	0.000	0.000
COL4A5	0.006	0.003	0.003	0.000	N	NA	1.0742860619	0.012	0.009	0.003	0.000
GABRB2	0.006	0.006	0.000	0.000	N	NA	1.0736463417	0.015	0.015	0.000	0.000
CLSPN	0.003	0.003	0.000	0.000	N	NA	1.0656409551	0.003	0.003	0.000	0.000
KLHL9	0.058	0.000	0.058	0.000	N	NA	1.0651255564	0.229	0.000	0.229	0.000
GABRG2	0.006	0.006	0.000	0.000	N	NA	1.0648004978	0.009	0.009	0.000	0.000
ROCK2	0.006	0.003	0.000	0.003	N	NA	1.0588626823	0.006	0.003	0.000	0.003
ATM	0.003	0.003	0.000	0.000	Y	NA	1.0583522310	0.018	0.018	0.000	0.000
ANK1	0.018	0.018	0.000	0.000	N	NA	1.0539453928	0.037	0.021	0.015	0.000
APOB	0.006	0.006	0.000	0.000	N	NA	1.0529554020	0.040	0.037	0.000	0.003
SYNJ1	0.003	0.000	0.000	0.003	N	NA	1.0526588827	0.006	0.000	0.000	0.006
PSMD13	0.003	0.003	0.000	0.000	N	NA	1.0355773795	0.009	0.009	0.000	0.000
EZH2	0.006	0.000	0.000	0.006	Y	NA	1.0273065337	0.015	0.003	0.000	0.012
PPARA	0.006	0.003	0.003	0.000	N	NA	1.0198299302	0.009	0.003	0.006	0.000
COL4A3	0.003	0.003	0.000	0.000	N	NA	1.0112392751	0.003	0.003	0.000	0.000
VCAN	0.006	0.006	0.000	0.000	N	NA	1.0059470464	0.009	0.006	0.003	0.000
PSMC2	0.003	0.000	0.000	0.003	N	NA	1.0049945785	0.006	0.000	0.000	0.006
XRCC2	0.003	0.000	0.000	0.003	N	NA	1.0049945785	0.018	0.000	0.003	0.015
PSIP1	0.006	0.000	0.006	0.000	N	NA	0.9996780320	0.012	0.000	0.009	0.003
FGFR4	0.003	0.003	0.000	0.000	N	NA	0.9951983403	0.012	0.012	0.000	0.000
NOTCH2	0.003	0.003	0.000	0.000	Y	NA	0.9914201837	0.009	0.009	0.000	0.000
CBLB	0.003	0.003	0.000	0.000	Y	NA	0.9914201837	0.003	0.003	0.000	0.000
FGF13	0.003	0.003	0.000	0.000	N	NA	0.9914201837	0.003	0.003	0.000	0.000
RFC4	0.003	0.000	0.000	0.003	N	NA	0.9908406343	0.006	0.003	0.000	0.003
CEP250	0.006	0.006	0.000	0.000	N	NA	0.9885077037	0.009	0.009	0.000	0.000
PTK2B	0.006	0.006	0.000	0.000	N	NA	0.9763799348	0.006	0.006	0.000	0.000
NFKBIA	0.003	0.003	0.000	0.000	N	NA	0.9738931907	0.003	0.003	0.000	0.000
COL5A2	0.003	0.003	0.000	0.000	N	NA	0.9738931907	0.006	0.006	0.000	0.000
ZWINT	0.003	0.000	0.003	0.000	N	NA	0.9736057911	0.015	0.000	0.015	0.000
IGF1R	0.003	0.003	0.000	0.000	N	NA	0.9571480502	0.006	0.006	0.000	0.000
MDM4	0.003	0.000	0.000	0.003	Y	NA	0.9566123601	0.037	0.003	0.000	0.034
PIK3CD	0.003	0.000	0.000	0.003	N	NA	0.9466697622	0.012	0.000	0.009	0.003
FLNC	0.006	0.003	0.000	0.003	N	NA	0.9297209492	0.024	0.009	0.000	0.015
GRK5	0.003	0.000	0.003	0.000	N	NA	0.9244584097	0.018	0.000	0.018	0.000
MELK	0.006	0.003	0.003	0.000	N	NA	0.9197669523	0.006	0.003	0.003	0.000
PTPRM	0.003	0.003	0.000	0.000	N	NA	0.9150850717	0.009	0.009	0.000	0.000
ITGB2	0.009	0.009	0.000	0.000	N	NA	0.9004018628	0.012	0.012	0.000	0.000
PTPRC	0.003	0.003	0.000	0.000	N	NA	0.8996021121	0.006	0.006	0.000	0.000
CTNNA2	0.003	0.003	0.000	0.000	N	NA	0.8996021121	0.009	0.009	0.000	0.000
ITGB7	0.006	0.006	0.000	0.000	N	NA	0.8927530980	0.009	0.009	0.000	0.000
PRKCB	0.006	0.006	0.000	0.000	N	NA	0.8920836574	0.009	0.009	0.000	0.000
VEGFA	0.006	0.003	0.000	0.003	N	NA	0.8799346862	0.012	0.006	0.000	0.006
CD3E	0.003	0.003	0.000	0.000	N	NA	0.8716538748	0.006	0.006	0.000	0.000
ADCY8	0.003	0.003	0.000	0.000	N	NA	0.8716538748	0.006	0.006	0.000	0.000
RPA2	0.006	0.003	0.003	0.000	N	NA	0.8690682740	0.006	0.003	0.003	0.000
CEBPB	0.003	0.003	0.000	0.000	N	NA	0.8626998546	0.003	0.003	0.000	0.000
MAG	0.003	0.003	0.000	0.000	N	NA	0.8595305638	0.009	0.009	0.000	0.000
BCR	0.003	0.003	0.000	0.000	Y	NA	0.8460384761	0.009	0.006	0.003	0.000
HLA-DQB1	0.003	0.000	0.000	0.003	N	NA	0.8414126968	0.006	0.000	0.003	0.003
PARP1	0.003	0.003	0.000	0.000	N	NA	0.8391968356	0.006	0.006	0.000	0.000
TUBGCP5	0.003	0.000	0.003	0.000	N	NA	0.8384605851	0.009	0.006	0.003	0.000
PTPN6	0.006	0.003	0.000	0.003	N	NA	0.8292222528	0.009	0.003	0.000	0.006
ANAPC1	0.003	0.003	0.000	0.000	N	NA	0.8218225944	0.006	0.006	0.000	0.000
CDK5RAP2	0.003	0.003	0.000	0.000	N	NA	0.8218225944	0.006	0.006	0.000	0.000
TAP1	0.003	0.003	0.000	0.000	N	NA	0.8207819922	0.003	0.003	0.000	0.000
CALM1	0.003	0.003	0.000	0.000	N	NA	0.8192187797	0.003	0.003	0.000	0.000
BLM	0.003	0.003	0.000	0.000	Y	NA	0.8192187797	0.003	0.003	0.000	0.000
BSG	0.003	0.000	0.000	0.003	N	NA	0.8192187797	0.006	0.000	0.003	0.003
MCM3	0.006	0.006	0.000	0.000	N	NA	0.8114905984	0.006	0.006	0.000	0.000
IFNGR1	0.003	0.003	0.000	0.000	N	NA	0.8046632737	0.003	0.003	0.000	0.000
PPP1CC	0.003	0.003	0.000	0.000	N	NA	0.8046190944	0.003	0.003	0.000	0.000
NTRK1	0.003	0.003	0.000	0.000	Y	NA	0.7986866244	0.006	0.006	0.000	0.000
NFATC1	0.003	0.003	0.000	0.000	N	NA	0.7978114868	0.003	0.003	0.000	0.000
VAMP7	0.003	0.003	0.000	0.000	N	NA	0.7939686078	0.009	0.009	0.000	0.000
AMHR2	0.003	0.003	0.000	0.000	N	NA	0.7900323211	0.003	0.003	0.000	0.000
KALRN	0.003	0.003	0.000	0.000	N	NA	0.7704779516	0.012	0.012	0.000	0.000
ITGB4	0.003	0.003	0.000	0.000	N	NA	0.7608659680	0.012	0.009	0.000	0.003
NKX3-2	0.003	0.003	0.000	0.000	N	NA	0.7508717259	0.006	0.006	0.000	0.000
MYF5	0.006	0.006	0.000	0.000	N	NA	0.7417399952	0.006	0.006	0.000	0.000
SDC2	0.003	0.003	0.000	0.000	N	NA	0.7376786316	0.003	0.003	0.000	0.000
EGR1	0.003	0.003	0.000	0.000	N	NA	0.7363455323	0.009	0.009	0.000	0.000
GRM5	0.003	0.003	0.000	0.000	N	NA	0.7356948064	0.012	0.009	0.000	0.003
