drug_id	drug	gene	no_mut	mut	amp	del	pvalue	anova_effect	drug_effect	slope effect	Mean_WT	Mean_MT	qvalue
1010	Gefitinib	BCR_ABL	4	4	0	0	1.38E-05	-0.599033	-0.260157	-0.0812646	1.87684	-0.0407617	0.00222246
151	QS11	MYC	22	0	22	0	1.57E-05	-0.794746	-0.345154	0.117836	3.91298	2.8074	0.00249141
59	WZ-1-84	SMAD4	7	5	0	2	1.66E-05	-0.851866	-0.369961	0.122534	5.63212	2.73386	0.00258548
9	MG-132	CDKN2A	102	13	0	89	2.03E-05	-0.517919	-0.224929	0.0881087	2.40168	0.990451	0.00311621
1033	GDC-0449	MYC	31	0	31	0	2.26E-05	-0.31283	-0.135861	-0.00183781	5.81695	5.40952	0.00340951
1021	Axitinib	KRAS	75	60	15	0	2.34E-05	0.217422	0.0944251	-0.0130738	3.32668	3.99829	0.0034739
55	A-770041	FLT3	2	1	1	0	2.62E-05	-3.63927	-1.58052	0.098652	3.48173	-3.919	0.00381644
1032	BIBW2992	EGFR	19	9	10	0	2.63E-05	-0.588448	-0.25556	-0.0753748	2.10841	0.827663	0.00377662
119	Lapatinib	SMAD4	7	5	0	2	2.66E-05	-0.975869	-0.423814	-0.0183886	4.18626	1.41451	0.00375953
1059	AZD8055	TET2	3	3	0	0	2.69E-05	-0.476399	-0.206898	0.220593	0.494336	-0.646733	0.00373888
1046	681640	TET2	3	3	0	0	3.09E-05	-1.09456	-0.475361	0.238702	2.37261	-1.09547	0.00423285
1042	BIRB 0796	SMARCB1	2	0	0	2	3.29E-05	-0.857439	-0.372381	-0.21841	5.66927	4.032	0.00444193
156	AZD6482	PIK3CA	44	42	2	0	3.56E-05	-0.395099	-0.17159	0.0330184	3.26535	2.68995	0.00473481
190	Bleomycin	MYC	22	0	22	0	3.92E-05	-0.0444262	-0.0192941	0.13658	1.01937	1.08577	0.0051355
52	GNF-2	CDKN2A	102	13	0	89	5.03E-05	-0.379484	-0.164808	-0.0473165	4.61879	4.01836	0.00650153
1005	Cisplatin	EWS_FLI1	14	14	0	0	5.25E-05	-0.438609	-0.190486	0.107357	3.46566	1.85596	0.00668324
1032	BIBW2992	CCND1	22	0	22	0	5.98E-05	-0.358201	-0.155565	-0.037209	2.12677	0.638382	0.00751118
185	OSI-906	CCND3	2	0	2	0	6.14E-05	-1.33369	-0.579213	0.134193	3.4426	-0.269	0.00759846
32	VX-680	BCR_ABL	3	3	0	0	6.70E-05	-1.63183	-0.708693	0.184081	2.72261	-1.457	0.00818397
119	Lapatinib	CDH1	4	3	0	1	7.05E-05	-0.211764	-0.0919681	0.0960837	4.14914	1.87825	0.00849279
192	LFM-A13	MYCL1	1	0	1	0	7.18E-05	-1.19112	-0.517296	0.0748873	5.92125	3.246	0.00853752
1	Erlotinib	SMAD4	7	5	0	2	7.44E-05	-0.949201	-0.412233	-0.0573308	4.55606	1.94341	0.00873051
104	Bortezomib	CDKN2A	104	13	0	91	7.55E-05	-0.464692	-0.201813	0.0467275	-4.34717	-5.60071	0.0087487
32	VX-680	CDKN2A	101	13	0	88	7.72E-05	0.209667	0.0910573	0.0294036	3.11829	1.87761	0.00882857
34	Imatinib	CDKN2A	108	14	0	94	8.15E-05	-0.0262081	-0.011382	0.0269754	4.87222	4.36175	0.00920952
1004	Vinblastine	APC	26	25	1	0	8.37E-05	0.60558	0.263	0.0278983	-4.1543	-2.81491	0.00933662
1014	RDEA119	NRAS	27	25	2	0	8.58E-05	-0.915099	-0.397422	-0.013329	2.4293	1.43365	0.00945812
1037	BX-795	APC	28	27	1	0	0.000106167	0.294564	0.127928	-0.0016679	2.34386	3.59967	0.011562
192	LFM-A13	FAM123B	2	2	0	0	0.000110183	-1.84139	-0.799706	-0.102149	5.92195	4.465	0.0118565
29	AZ628	ALK	1	1	0	0	0.000118039	-2.61689	-1.1365	0.44941	2.51842	-0.7071	0.0125524
38	AZD-0530	NRAS	22	22	0	0	0.000119373	0.46474	0.201834	0.00195849	3.84834	5.1135	0.0125466
1058	GDC0941	APC	27	26	1	0	0.000126965	0.501873	0.217961	0.0674522	2.20126	3.50095	0.0131912
1013	Nilotinib	KDR	2	0	2	0	0.000128123	-1.57916	-0.68582	0.0418436	4.17138	2.0785	0.0131602
55	A-770041	CDKN2A	104	13	0	91	0.00013488	-0.0677469	-0.0294221	-0.00843491	3.85864	2.66531	0.0136986
156	AZD6482	BRAF	42	39	3	0	0.00013691	0.0745928	0.0323952	-0.0442309	3.18041	3.22271	0.0137504
1020	Lenalidomide	CDK6	7	0	7	0	0.000137341	-0.157003	-0.0681854	-0.0554444	5.35877	5.10486	0.0136421
182	Obatoclax Mesylate	PTEN	46	26	0	20	0.000137752	-0.0131585	-0.00571464	0.10449	-1.37529	-1.28755	0.0135341
182	Obatoclax Mesylate	BRAF	42	40	2	0	0.000139914	-0.653603	-0.283856	-0.0800452	-1.21278	-2.42448	0.0135988
1004	Vinblastine	EWS_FLI1	14	14	0	0	0.0001447	-0.625165	-0.271506	0.117402	-4.03467	-5.23021	0.0139143
52	GNF-2	NRAS	18	18	0	0	0.000155395	0.468443	0.203442	-0.00809902	4.36033	5.06456	0.0147854
173	FH535	SETD2	2	2	0	0	0.00016606	1.31998	0.573259	0.1804	1.68606	4.929	0.0156356
1015	CI-1040	NRAS	25	23	2	0	0.00016919	-0.795183	-0.345343	-0.0290644	2.80084	1.61683	0.0157661
1019	Bosutinib	PTEN	66	39	0	27	0.000183732	0.287381	0.124808	0.00596286	2.7823	3.392	0.0169465
5	Sunitinib	KDR	1	0	1	0	0.000191622	-0.852504	-0.370238	-0.637502	3.26364	-3.477	0.0174957
1042	BIRB 0796	ALK	2	1	1	0	0.000192377	-0.122343	-0.0531328	-0.171973	5.66227	5.5915	0.0173889
1010	Gefitinib	CCND1	20	0	20	0	0.000198708	-0.282615	-0.122738	0.00212805	1.90472	0.920397	0.0177834
1032	BIBW2992	NRAS	29	27	2	0	0.000225274	0.351134	0.152496	0.0532385	2.00204	2.84289	0.0199632
1013	Nilotinib	SMARCB1	2	0	0	2	0.000233916	-0.607946	-0.264028	0.0460541	4.16914	2.5889	0.0205278
11	Paclitaxel	CDKN2A	103	13	0	90	0.000241552	-0.214874	-0.0933188	-0.038935	-1.61604	-2.93986	0.0209941
1021	Axitinib	SMARCB1	2	0	0	2	0.000244818	-1.13784	-0.494159	-0.110037	3.44772	0.916	0.0210754
1023	GW 441756	STK11	19	14	0	5	0.000247508	-0.517273	-0.224649	-0.0423173	4.27076	3.45195	0.0211059
1049	PD-173074	PDGFRA	4	0	4	0	0.000248326	-1.11095	-0.48248	-0.187397	3.90195	2.80025	0.0209778
1011	ABT-263	MLL_AFF1	2	2	0	0	0.000249222	-1.81644	-0.788869	0.0205367	2.72057	-2.578	0.0208585
182	Obatoclax Mesylate	MYC	22	0	22	0	0.000251598	-0.861667	-0.374217	-0.0397	-1.27152	-2.68235	0.0208642
1009	ATRA	BCR_ABL	4	4	0	0	0.000256432	-0.952581	-0.413701	-0.108053	4.94049	1.76545	0.0210717
1050	ZM-447439	NOTCH1	9	9	0	0	0.000260734	-0.865423	-0.375849	0.0763881	2.84744	0.719911	0.0212322
171	AKT inhibitor VIII	PIK3CA	44	42	2	0	0.000268636	-0.426075	-0.185042	-0.0294598	3.23426	2.26176	0.0216804
1009	ATRA	FLT3	3	2	1	0	0.0002837	-1.93996	-0.842515	-0.0540601	4.9336	1.68933	0.0226935
1062	AZD6244	CDKN2A	196	42	1	153	0.000288025	-0.589962	-0.256217	-0.00994926	3.12203	2.33081	0.0228373
195	Camptothecin	EWS_FLI1	3	3	0	0	0.000297937	-3.64341	-1.58231	-0.0122666	-5.56725	-14.3367	0.0234178
1025	SB 216763	BCR_ABL	4	4	0	0	0.000304783	-0.585695	-0.254364	-0.0736861	5.49099	3.91975	0.0237494
1008	Methotrexate	BCR_ABL	4	4	0	0	0.000307611	-0.378311	-0.164299	0.0339339	0.584985	-3.5145	0.023765
29	AZ628	CDKN2A	107	14	0	93	0.000313857	0.0862635	0.0374637	-0.102695	2.90578	1.8149	0.024042
1008	Methotrexate	MLL_AFF1	2	2	0	0	0.00031707	-0.986564	-0.428459	-0.0434366	0.572959	-5.0345	0.024084
1006	Cytarabine	EWS_FLI1	14	14	0	0	0.000318876	-0.523189	-0.227218	0.0525466	0.711672	-1.15304	0.0240193
1014	RDEA119	KRAS	78	63	15	0	0.000322843	-0.505216	-0.219412	-0.017055	2.49971	1.73174	0.0241172
1047	Nutlin-3a	RB1	47	36	1	10	0.000323294	0.253781	0.110216	0.0208135	4.3694	5.53298	0.0239529
1032	BIBW2992	MSH2	6	4	0	2	0.000329267	-0.914624	-0.397216	-0.00466809	2.07655	0.452983	0.0241971
1008	Methotrexate	TET2	3	3	0	0	0.000333236	-0.897501	-0.38978	-0.00149242	0.583405	-4.65567	0.0242913
1025	SB 216763	CDK4	8	0	8	0	0.0003333	-0.485976	-0.211057	0.0515092	5.4866	4.9525	0.0241016
34	Imatinib	MLH1	8	7	1	0	0.000337675	0.0413547	0.0179601	-0.137996	4.66788	5.516	0.0242242
1039	SL 0101-1	TET2	3	3	0	0	0.000338298	-0.537803	-0.233565	-0.0828047	5.40311	3.76033	0.0240777
1	Erlotinib	MET	2	0	2	0	0.000348769	-2.64345	-1.14804	-0.0721903	4.52013	0.3165	0.0246291
1037	BX-795	KRAS	78	63	15	0	0.00035616	0.244567	0.106214	0.00367674	2.26533	3.19538	0.024956
157	JNK-9L	TSC1	2	1	0	1	0.00038608	1.83275	0.795952	-0.0678013	-0.172099	3.3875	0.0268444
1025	SB 216763	ALK	2	1	1	0	0.000393518	0.0723476	0.0314201	-0.128017	5.48552	3.5955	0.0271528
1012	Vorinostat	EWS_FLI1	14	14	0	0	0.000396584	-0.320053	-0.138997	0.152225	1.48101	0.562407	0.027157
136	Mitomycin C	EWS_FLI1	3	3	0	0	0.000433963	-2.47213	-1.07363	-0.0737901	-1.25984	-7.22	0.0294932
182	Obatoclax Mesylate	SETD2	2	2	0	0	0.000435746	2.03038	0.881785	-0.09346	-1.38982	3.0841	0.0293934
1014	RDEA119	EWS_FLI1	14	14	0	0	0.000437908	1.12244	0.48747	0.0399255	2.29264	4.95071	0.0293204
37	PF-02341066	CDKN2A	105	13	0	92	0.000450881	0.0192744	0.00837076	0.0499712	4.51413	3.87572	0.029967
1015	CI-1040	CDKN2A	194	37	1	156	0.000456921	-0.163854	-0.071161	0.0249117	2.99857	2.40669	0.0301468
1003	Camptothecin	APC	26	25	1	0	0.000465179	0.349826	0.151928	-0.0251302	-4.23649	-2.75696	0.0304692
1001	AICAR	BRAF	54	51	3	0	0.000473473	0.121405	0.0527256	-0.0221465	8.13858	9.01022	0.0307894
1007	Docetaxel	CCND1	22	0	22	0	0.000519916	-0.0778473	-0.0338087	-0.0852231	-5.18285	-5.98714	0.033568
1062	AZD6244	KRAS	71	57	14	0	0.00052539	-0.600501	-0.260794	-0.0386029	2.91646	2.02068	0.0336809
45	Z-LLNle-CHO	CDKN2A	102	13	0	89	0.000551928	-0.277826	-0.120658	0.0351175	2.8307	2.00023	0.0351329
1016	Temsirolimus	KRAS	72	57	15	0	0.000558852	0.186576	0.0810289	0.0263718	-1.50379	-0.340978	0.0353249
1005	Cisplatin	APC	26	25	1	0	0.000632287	0.335556	0.14573	-0.00339901	3.34394	4.495	0.0396892
180	Thapsigargin	TP53	224	223	0	1	0.000652319	-0.446381	-0.193861	-0.0468531	-4.22342	-4.68609	0.0406642
1028	VX-702	BCR_ABL	4	4	0	0	0.000666357	-0.480524	-0.208689	-0.0572029	4.39181	2.975	0.0412548
1032	BIBW2992	SMAD4	26	15	0	11	0.000672043	-0.36408	-0.158118	-0.0620564	2.10856	1.17002	0.0413238
1029	AMG-706	EWS_FLI1	14	14	0	0	0.000682138	0.0738586	0.0320764	0.00358997	4.10355	3.43122	0.0416611
1009	ATRA	EWS_FLI1	14	14	0	0	0.000685203	-0.894861	-0.388633	-0.0790357	4.95911	3.47849	0.0415674
51	Dasatinib	NRAS	18	18	0	0	0.000689143	1.04769	0.455005	0.110423	1.49345	2.97504	0.0415277
171	AKT inhibitor VIII	BRCA2	2	1	1	0	0.000696123	0.974863	0.423378	-0.170818	3.10325	2.603	0.0416706
1009	ATRA	NOTCH1	9	9	0	0	0.000698681	-0.632812	-0.274827	0.00130384	4.96043	2.59422	0.0415485
182	Obatoclax Mesylate	TP53	224	223	0	1	0.000721517	-0.425119	-0.184627	-0.0694228	-1.15117	-1.47133	0.0426261
1031	Elesclomol	APC	26	25	1	0	0.000725815	0.751637	0.326432	-0.00105302	-2.88816	-1.38576	0.0426015
1043	JNK Inhibitor VIII	CDKN2a(p14)	172	25	1	146	0.000730701	0.288684	0.125374	-0.011367	5.73944	5.80933	0.0426117
1062	AZD6244	EWS_FLI1	14	14	0	0	0.000738371	0.81864	0.355531	0.0876225	2.70747	4.80736	0.0427829
146	A-769662	FAM123B	2	2	0	0	0.0007445	-0.368748	-0.160145	0.0620206	3.89662	3.0965	0.0428633
166	FTI-277	HRAS	2	2	0	0	0.000752229	-0.893126	-0.38788	0.0406861	3.1937	1.3785	0.0430342
1024	CEP-701	APC	27	26	1	0	0.00077135	0.466011	0.202386	-0.00480382	-0.163315	1.13612	0.0438505
1060	PD-0325901	EWS_FLI1	14	14	0	0	0.000802033	0.805235	0.349709	0.104714	0.065752	2.10971	0.0453098
1052	RO-3306	MLL_AFF1	2	2	0	0	0.000814624	-1.83414	-0.796557	0.0512852	4.61022	1.53245	0.0457353
29	AZ628	KRAS	20	17	3	0	0.000829043	-1.20408	-0.522926	-0.0607798	2.6116	1.08512	0.0462575
1	Erlotinib	NRAS	17	17	0	0	0.000829896	0.49602	0.215419	0.0202263	4.43862	5.26271	0.046021
1017	AZD-2281	KRAS	75	60	15	0	0.000843366	0.00827303	0.00359293	-0.0126992	4.67108	5.16117	0.0464829
1032	BIBW2992	BRAF	41	39	2	0	0.000859881	0.270674	0.117552	0.042582	1.97986	2.82232	0.0471058
1032	BIBW2992	PTEN	66	39	0	27	0.000863366	0.141024	0.061246	0.0288611	1.96237	2.60714	0.0470118
185	OSI-906	PTEN	46	26	0	20	0.000868966	0.482051	0.209352	0.06459	3.31396	4.09782	0.0470335
29	AZ628	BCR_ABL	4	4	0	0	0.000874448	-2.22505	-0.966325	0.0601482	2.55809	-1.15457	0.0470484
1047	Nutlin-3a	CCND1	20	0	20	0	0.000878307	0.282897	0.12286	0.027914	4.4277	5.7745	0.0469764
1047	Nutlin-3a	CTNNB1	10	5	1	4	0.00089078	-0.326402	-0.141755	0.00308016	4.52143	2.7539	0.0473633
1037	BX-795	ERBB2	17	1	16	0	0.000895868	0.730566	0.317281	0.0111241	2.36174	3.92971	0.0473553
1024	CEP-701	BRCA1	3	2	1	0	0.000899109	1.58947	0.6903	0.150499	-0.102739	2.34423	0.0472503
1039	SL 0101-1	SMO	1	0	1	0	0.000909083	4.13866	1.7974	0.520144	5.39214	5.412	0.0474983
1046	681640	MDM2	9	0	9	0	0.000911784	0.999413	0.434039	0.0332371	2.31385	4.08278	0.0473656
1040	BI-D1870	APC	27	26	1	0	0.000925306	0.33835	0.146944	0.0082793	2.56257	3.44468	0.0477934
1008	Methotrexate	ALK	2	1	1	0	0.000939115	-0.37966	-0.164884	0.315355	0.549066	0.0905	0.048231
1025	SB 216763	MLL_AFF1	2	2	0	0	0.000947134	-1.40491	-0.610144	-0.0279084	5.49156	2.2175	0.0483681
165	DMOG	APC	18	17	1	0	0.000969814	0.0850039	0.0369167	0.0724369	6.56939	7.32006	0.049248
127	GSK269962A	CDKN2A	106	14	0	92	0.000981068	0.149064	0.0647375	0.0161547	3.95465	2.89063	0.0495412
30	Sorafenib	KDR	1	0	1	0	0.000995858	-1.3826	-0.600455	-0.406608	3.7975	-1.384	0.0500087
1028	VX-702	MLH1	9	8	1	0	0.00100334	-0.340867	-0.148037	-0.00923977	4.39921	3.39267	0.0501061
1012	Vorinostat	STK11	19	14	0	5	0.00101198	0.331779	0.14409	-0.0500387	1.41154	2.40923	0.0502601
59	WZ-1-84	GNAS	3	1	2	0	0.00104459	-1.46334	-0.635519	0.0830482	5.58792	3.039	0.0515959
1059	AZD8055	APC	27	26	1	0	0.00108026	0.373675	0.162285	0.00986865	0.43161	1.3944	0.0530677
199	Pazopanib	KDR	2	0	2	0	0.00108032	-2.6112	-1.13403	0.219015	3.9325	0.5425	0.0527838
1054	PD-0332991	NOTCH1	9	9	0	0	0.00109761	0.307242	0.133433	0.0705937	2.38903	1.49163	0.0533402
1049	PD-173074	FLT3	3	2	1	0	0.00110106	-0.343106	-0.149009	-0.102236	3.90172	2.46833	0.0532219
1039	SL 0101-1	CCND2	2	0	2	0	0.00110785	-1.85889	-0.807305	-0.236726	5.39818	4.0465	0.0532652
1011	ABT-263	FLT3	3	2	1	0	0.00111559	-1.44793	-0.628827	0.049138	2.72646	-1.74024	0.0533535
45	Z-LLNle-CHO	KRAS	21	17	4	0	0.00114965	-0.762174	-0.331008	0.159543	2.5974	1.70773	0.0546931
1009	ATRA	APC	26	25	1	0	0.00117221	0.522762	0.227033	0.0347391	4.84749	5.90058	0.0554742
156	AZD6482	APC	18	17	1	0	0.0012149	0.169353	0.0735492	0.0497194	3.13455	4.04597	0.0571952
1009	ATRA	ALK	2	1	1	0	0.00122221	-0.386316	-0.167775	-0.213205	4.91524	4.005	0.0572411
146	A-769662	MDM2	5	0	5	0	0.00122224	-0.869909	-0.377797	-0.0596341	3.89888	3.43482	0.0569477
6	PHA-665752	MLL_AFF1	2	2	0	0	0.00125079	-0.838917	-0.364337	-0.301507	4.70346	4.1006	0.057979
190	Bleomycin	TSC1	2	1	0	1	0.0012509	2.71965	1.18113	0.277872	1.00111	4.8185	0.0576881
1050	ZM-447439	ALK	2	1	1	0	0.00127486	-0.933623	-0.405467	0.141202	2.81547	0.85135	0.0584949
175	PAC-1	PIK3CA	47	45	2	0	0.00133797	0.390147	0.169438	0.013907	3.74987	4.17196	0.0610802
1049	PD-173074	KRAS	77	62	15	0	0.00135538	0.141108	0.0612823	0.0155714	3.81249	4.30709	0.0615641
1028	VX-702	SMARCB1	2	0	0	2	0.00136249	-0.462073	-0.200676	-0.095908	4.38308	3.5465	0.0615777
1010	Gefitinib	NRAS	25	23	2	0	0.00137391	0.0981292	0.042617	-0.0216079	1.85011	2.00413	0.0617847
32	VX-680	KRAS	21	17	4	0	0.00139889	0.126922	0.0551217	-0.0791632	2.6863	2.58191	0.0625969
1050	ZM-447439	EWS_FLI1	14	14	0	0	0.00141121	-0.0912957	-0.0396492	0.0870554	2.82375	2.26177	0.0628372
1050	ZM-447439	APC	28	27	1	0	0.00141298	0.118246	0.0513536	0.0550047	2.74679	3.77406	0.0626073
1023	GW 441756	FAM123B	2	1	0	1	0.00141522	-0.903066	-0.392197	0.00601579	4.24304	2.8135	0.0624009
1022	AZD7762	MYCN	16	0	16	0	0.0014235	-0.115862	-0.0503183	0.139252	0.0826485	-0.392668	0.0624611
134	Etoposide	CDKN2a(p14)	142	24	1	117	0.00146755	0.0439961	0.0191073	-0.110863	1.59923	1.73585	0.0640831
173	FH535	BRAF	42	40	2	0	0.0015055	-0.170088	-0.0738685	0.049274	1.80312	1.01545	0.0654242
6	PHA-665752	MLLT3	8	0	1	7	0.00150767	0.317119	0.137723	-0.0839697	4.69336	4.92525	0.0652048
1000	Metformin	CDKN2A	231	47	1	183	0.00154238	-0.033776	-0.0146687	0.0409547	10.6079	10.7101	0.0663885
199	Pazopanib	PIK3CA	47	45	2	0	0.00155287	0.370318	0.160827	0.0148866	3.81447	4.51902	0.0665233
1036	PLX4720	MLL_AFF1	2	2	0	0	0.0015895	-1.01626	-0.441355	-0.107398	4.80089	2.7735	0.0677711
1007	Docetaxel	APC	27	26	1	0	0.00159225	0.237029	0.10294	0.107207	-5.2805	-4.27211	0.0675697
1040	BI-D1870	KRAS	74	59	15	0	0.00162224	0.203244	0.088268	-0.015276	2.48916	3.25544	0.0685205
186	Bexarotene	MDM2	6	0	6	0	0.00169072	-1.55217	-0.674097	-0.170888	4.19259	2.95583	0.071081
1011	ABT-263	MYCN	19	0	19	0	0.00169882	-1.04959	-0.455832	0.00851783	2.7704	0.964305	0.0710909
154	CHIR-99021	SMO	4	0	4	0	0.0017369	-0.17142	-0.0744467	-0.171594	4.24533	3.80275	0.0723495
154	CHIR-99021	SETD2	2	2	0	0	0.0018105	-1.67935	-0.729332	-0.0215796	4.26298	0.5635	0.0750695
