Genes	TCGA-02-0003-01A	TCGA-02-0033-01A	TCGA-02-0047-01A	TCGA-02-2470-01A	TCGA-02-2483-01A	TCGA-02-2485-01A	TCGA-02-2486-01A	TCGA-06-0122-01A	TCGA-06-0124-01A
USP6NL	0	0	0	0	0	0	0	0	0
SLCO2B1	0	0	0	0	0	0	0	0	0
C11orf93	0	0	0	0	0	0	0	0	0
LRGUK	0	0	0	0	0	0	0	0	0
TEK	0	0	0	0	0	0	0	0	0
MT1JP	0	0	0	0	0	0	0	0	0
NUTM2G	0	0	0	0	0	0	0	0	0
CPNE4	0	0	0	0	0	0	0	0	0
COL1A1	0	0	0	0	0	0	0	0	0
GTPBP1	0	0	0	0	0	0	0	0	0
GRK5	0	0	0	0	0	0	0	0	0
IGHJ3	0	0	0	0	0	0	0	0	0
AP1S2	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0
RAB33B	0	0	0	0	0	0	0	0	0
ALDOC	0	0	0	0	0	0	0	0	0
ZNF212	0	0	0	0	0	0	0	0	0
NUDT1	0	0	0	0	0	0	0	0	0
SGK110	0	0	0	0	0	0	0	0	0
ZNF83	0	0	0	0	0	0	0	0	0
PRDM2	0	0	0	0	0	0	0	0	0
SPAG11B	0	0	0	0	0	0	0	1	0
SEL1L3	0	0	0	0	0	0	0	0	0
MIR630	0	0	0	0	0	0	0	0	0
GDPD5	0	0	0	0	0	0	0	0	0
FOXP3	0	0	0	0	0	0	0	0	0
SMYD3	0	0	0	0	0	0	0	0	0
MIR1228	0	0	0	0	0	0	0	0	0
SNORD98	0	0	0	0	0	0	0	0	0
OR10A2	0	0	0	0	-1	0	0	0	0
CIAO1	0	0	0	0	0	0	0	0	0
LGI2	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0
WDR45	0	0	0	0	0	0	0	0	0
SHROOM1	0	0	0	0	0	0	0	0	0
LTBP4	0	0	0	0	0	0	0	0	0
CIDECP	0	0	0	0	0	0	0	0	0
RNY3P4	0	0	0	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0	0	0	0
KCNC1	0	0	0	0	0	0	0	0	0
ARHGEF9	0	0	0	0	0	0	0	0	0
SIRT6	0	0	0	0	0	0	0	0	0
CCL19	0	0	0	0	0	0	0	0	0
PPIL1	0	0	0	0	0	0	0	0	0
RSU1P2	0	0	0	0	0	0	0	0	0
VWA5A	0	0	0	0	0	0	0	0	0
RN7SL114P	0	0	0	0	0	0	0	0	0
ABR	0	0	0	0	0	0	0	0	0
STK17A	0	0	0	0	0	0	0	0	0
FOXE1	0	0	0	0	0	0	0	0	0
CNPY4	0	0	0	0	0	0	0	0	0
C2CD3	0	0	0	0	0	0	0	0	0
CD38	0	0	0	0	0	0	0	0	0
GML	0	0	0	0	0	0	0	0	0
CNGA3	0	0	0	0	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0	0	0	0
NAT8L	0	0	0	0	0	0	0	0	0
CTDSP2	1	0	0	0	0	1	0	0	0
RMND5B	0	0	0	0	0	0	0	0	0
ZNF257	0	0	0	0	0	0	0	0	0
C11orf88	0	0	0	0	0	0	0	0	0
ROR2	0	0	0	0	0	0	0	0	0
FOXM1	0	0	0	0	0	0	0	0	0
GRAMD2	0	0	0	0	0	0	0	0	0
TRAV18	0	0	0	0	0	0	0	0	0
BUD31	0	0	0	0	0	0	0	0	0
MAOA	0	0	0	0	0	0	0	0	0
RN7SL476P	0	0	0	0	0	0	0	0	0
RN7SKP25	0	0	0	0	0	0	0	0	0
PABPC5	0	0	0	0	0	0	0	0	0
CCDC41	0	0	0	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0	0	0	0
TNNT3	0	0	0	0	-1	0	0	0	0
C7orf33	0	0	0	0	0	0	0	0	0
PSMG4	0	0	0	0	0	0	0	0	0
RFXAP	0	0	0	0	0	0	0	0	0
RNF4	0	0	0	0	0	0	0	0	0
RNA5SP122	0	0	0	0	0	0	0	0	0
EMC1	0	0	0	0	0	0	0	0	0
C6orf70	0	0	0	0	0	0	0	0	0
MIR181B2	0	0	0	0	0	0	0	0	0
F8A1	0	0	0	0	0	0	0	0	0
ALG2	0	0	0	0	0	0	0	0	0
HDAC7	0	0	0	0	0	0	0	0	0
PPP1R3D	0	0	0	0	0	0	0	0	0
GRB2	0	0	1	0	0	0	0	0	0
TPM3	0	0	0	0	0	0	0	0	0
EPB42	0	0	0	0	0	0	0	0	0
SYT13	0	0	0	0	0	0	0	0	0
CETN3	0	0	0	0	0	0	0	0	0
CDK1	0	0	0	0	0	0	0	0	0
NTHL1	0	0	0	0	0	0	0	0	0
POLR2B	0	0	0	0	0	0	0	0	0
GDF10	0	0	0	0	0	0	0	0	0
COQ9	0	0	0	0	0	0	0	0	0
TRAPPC9	0	0	0	0	0	0	0	0	0
RN7SL76P	0	0	0	0	0	0	0	0	0
GCC2	0	0	0	0	0	0	0	0	0
RARRES3	0	0	0	0	0	0	0	0	0
WBP4	0	0	0	0	0	0	0	0	0
KIAA0100	0	0	0	0	0	0	0	0	0
PMF1	0	0	0	0	0	0	0	0	0
FNDC1	0	0	0	0	0	0	0	0	0
RN7SKP34	0	0	0	0	0	0	0	0	0
C8G	0	0	0	0	0	0	0	0	0
CD82	0	0	0	0	0	0	0	0	0
CRELD2	0	0	0	0	0	0	0	0	0
SPINK14	0	0	0	0	0	0	0	0	0
PIRT	0	0	0	0	0	0	0	0	0
VAX2	0	0	0	0	0	0	0	0	0
LINC00924	0	0	0	0	0	0	0	0	0
MIR193A	0	0	0	0	0	0	0	0	0
SNORA2A	0	0	0	0	0	0	0	0	0
CPEB3	0	0	0	0	0	0	0	0	0
snoU83B	0	0	0	0	0	0	0	0	0
INTS1	0	0	0	0	0	0	0	0	0
CAMTA1	0	0	0	0	0	0	0	0	0
RN7SL836P	0	0	0	0	0	0	0	0	0
MIMT1	0	0	0	0	0	0	0	0	0
SAMSN1	0	0	0	0	0	0	0	0	0
DRD3	0	0	0	0	0	0	0	0	0
RN7SL556P	0	0	0	0	0	0	0	0	0
AIPL1	0	0	0	0	0	0	0	0	0
C11orf73	0	0	0	0	0	0	0	0	0
IL24	0	0	0	0	0	0	0	0	0
HPCA	0	0	0	0	0	0	0	0	0
BDKRB1	0	0	0	0	0	0	0	0	0
MLF1	0	0	0	0	0	0	0	0	0
METTL25	0	0	0	0	0	0	0	0	0
SEC14L1	0	0	1	0	0	0	0	0	0
NME8	0	0	0	0	0	0	0	0	0
CHFR	0	0	0	0	0	0	0	0	0
TAF12	0	0	0	0	0	0	0	0	0
PIK3CB	0	0	0	0	0	0	0	0	0
PDZD3	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0
OR4N5	0	0	0	0	0	0	0	0	0
RNA5SP347	0	0	0	0	0	0	0	0	0
FAXC	0	0	0	0	0	0	0	0	0
MIR591	0	0	0	0	0	0	0	0	0
RNU4ATAC16P	0	0	0	0	0	0	0	0	0
COX8A	0	0	0	0	0	0	0	0	0
CDCA4	0	0	0	0	0	0	0	0	0
TRAV2	0	0	0	0	0	0	0	0	0
C9orf16	0	0	0	0	0	0	0	0	0
MIR1200	0	0	0	0	0	0	0	0	0
EMX2	0	0	0	0	0	0	0	0	0
IMMP1L	0	0	0	0	0	0	0	0	0
ZNF534	0	0	0	0	0	0	0	0	0
NIPSNAP3B	0	0	0	0	0	0	0	0	0
TF	0	0	0	0	0	0	0	0	0
CLCN4	0	0	0	0	0	0	0	0	0
C11orf72	0	0	0	0	0	0	0	0	0
DNAL4	0	0	0	0	0	0	0	0	0
DNAH11	0	0	0	0	0	0	0	0	0
NPR1	0	0	0	0	0	0	0	0	0
MTMR14	0	0	0	0	0	0	0	0	0
CELA1	0	0	0	0	0	0	0	0	0
ELAC2	0	0	0	0	0	0	0	0	0
ASS1	0	0	0	0	0	0	0	0	0
USP42	0	0	0	0	0	0	0	0	0
EMC8	0	0	0	0	0	0	0	0	0
IPP	0	0	0	0	0	0	0	0	0
SEC23IP	0	0	0	0	0	0	0	0	0
PP13004	0	0	0	0	0	0	0	0	0
TRDD3	0	0	0	0	0	0	0	0	0
POLG	0	0	0	0	0	0	0	0	0
ZNHIT2	0	0	0	0	0	0	0	0	0
TFR2	0	0	0	0	0	0	0	0	0
NCDN	0	0	0	0	0	0	0	0	0
RICTOR	0	0	0	0	0	0	0	0	0
TMEM104	0	0	1	0	0	0	0	0	0
SNORD105	0	0	0	0	0	0	0	0	0
POMT1	0	0	0	0	0	0	0	0	0
PTPN5	0	0	0	0	0	0	0	0	0
C19orf55	0	0	0	0	0	0	0	0	0
RN7SL52P	0	0	0	0	0	0	0	0	0
MIR4694	0	0	0	0	0	0	0	0	0
LRRC8A	0	0	0	0	0	0	0	0	0
GNA11	0	0	0	0	0	0	0	0	0
OGFOD2	0	0	0	0	0	0	0	0	0
ARSH	0	0	0	0	0	0	0	0	0
FSIP1	0	0	0	0	0	0	0	0	0
CAPN1	0	0	0	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0	0	0	0
GRIK2	0	0	0	0	0	0	0	0	0
LAGE3	0	0	0	0	0	0	0	0	0
CHST6	0	0	0	0	0	0	0	0	0
GNRHR	0	0	0	0	0	0	0	0	0
UNC13B	0	0	0	0	0	0	0	0	0
SUZ12P	0	0	0	0	0	0	0	0	0
HTR3A	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0
SLITRK4	0	0	0	0	0	0	0	0	0
ANKRD49	0	0	0	0	0	0	0	0	0
GAGE2B	0	0	0	0	0	0	0	0	0
KDM6A	0	0	0	0	0	0	0	0	0
QKI	0	0	0	0	0	0	0	0	0
MAN2B1	0	0	0	0	0	0	0	0	0
LINC00619	0	0	0	0	0	0	0	0	0
FAM24A	0	0	0	0	0	0	0	0	0
RN7SL318P	0	0	0	0	0	0	0	1	0
OFD1	0	0	0	0	0	0	0	0	0
LRRTM3	0	0	0	0	0	0	0	0	0
AHCYL2	0	0	0	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0	0	0	0
RN7SL809P	0	0	0	0	0	0	0	0	0
RN7SL452P	0	0	0	0	0	0	0	0	0
MIR935	0	0	0	0	0	0	0	0	0
PEX16	0	0	0	0	0	0	0	0	0
KDM4B	0	0	0	0	0	0	0	0	0
LRRC10	0	0	0	0	0	0	0	0	0
GNG12	0	0	0	0	0	0	0	0	0
HABP4	0	0	0	0	0	0	0	0	0
TMEM125	0	0	0	0	0	0	0	0	0
CNTN2	0	0	0	1	0	0	0	0	0
MIR885	0	0	0	0	0	0	0	0	0
UBN2	0	0	0	0	0	0	0	0	0
UFL1	0	0	0	0	0	0	0	0	0
ARL2BPP3	0	0	0	0	0	0	0	0	0
FUT4	0	0	0	0	0	0	0	0	0
DBH	0	0	0	0	0	0	0	0	0
TFAP2B	0	0	0	0	0	0	0	0	0
LINC00675	0	0	0	0	0	0	0	0	0
RP9	0	0	0	0	0	0	0	0	0
TMEM11	0	0	0	0	0	0	0	0	0
ARAP1	0	0	0	0	0	0	0	0	0
CDH8	0	0	0	0	0	0	0	0	0
RN7SL464P	0	0	0	0	0	0	0	0	0
AGPS	0	0	0	0	0	0	0	0	0
RNA5SP229	0	0	0	0	0	0	0	0	0
PIN1P1	0	0	0	0	0	0	0	0	0
IPO13	0	0	0	0	0	0	0	0	0
PCCB	0	0	0	0	0	0	0	0	0
UNG	0	0	0	0	0	0	0	0	0
COMMD5	0	0	0	0	0	0	0	0	0
GSTP1	0	0	0	0	0	0	0	0	0
DCUN1D5	0	0	0	0	0	0	0	0	0
SUV420H1	0	0	0	0	0	0	0	0	0
LTBR	0	0	0	0	0	0	0	0	0
PSG4	0	0	0	0	0	0	0	0	0
SLC9A3R1	0	0	1	0	0	0	0	0	0
ANKLE2	0	0	0	0	0	0	0	0	0
GNB4	0	0	0	0	0	0	0	0	0
SLC9A3	0	0	0	0	0	0	0	0	0
NBPF3	0	0	0	0	0	0	0	0	0
SPATA4	0	0	0	0	0	0	0	0	0
FAM218A	0	0	0	0	0	0	0	0	0
MIR3689E	0	0	0	0	0	0	0	0	0
PRR5	0	0	0	0	0	0	0	0	0
SLC39A5	0	0	0	0	0	0	0	0	0
LILRA6	0	0	0	0	0	0	0	0	0
REM2	0	0	0	0	0	0	0	0	0
MIR637	0	0	0	0	0	0	0	0	0
SMTNL2	0	0	0	0	0	0	0	0	0
DNHD1	0	0	0	0	-1	0	0	0	0
OVCA2	0	0	0	0	0	0	0	0	0
FKBP4	0	0	0	0	0	0	0	0	0
ZNF350	0	0	0	0	0	0	0	0	0
RNA5SP104	0	0	0	0	0	0	0	0	0
GIPR	0	0	0	0	0	0	0	0	0
BST1	0	0	0	0	0	0	0	0	0
AHI1	0	0	0	0	0	0	0	0	0
KISS1R	0	0	0	0	0	0	0	0	0
LINC00486	0	0	0	0	0	0	0	0	0
NADSYN1	0	0	0	0	0	0	0	0	0
DEFB125	0	0	0	0	-1	0	0	0	0
UBE2W	0	0	0	0	0	0	0	0	0
FAM221B	0	0	0	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0	0	0	0
RN7SL84P	0	0	0	0	0	0	0	0	0
RGS14	0	0	0	0	0	0	0	0	0
C10orf99	0	0	0	0	0	0	0	0	0
IL18BP	0	0	0	0	0	0	0	0	0
FHL1	0	0	0	0	0	0	0	0	0
SNORD14D	0	0	0	0	0	0	0	0	0
GATA1	0	0	0	0	0	0	0	0	0
SMC6	0	0	0	0	0	0	0	0	0
RTN4RL1	0	0	0	0	0	0	0	0	0
PSMD5	0	0	0	0	0	0	0	0	0
HK3	0	0	0	0	0	0	0	0	0
RSU1	0	0	0	0	0	0	0	0	0
LPIN3	0	0	0	0	0	0	0	0	0
MAD2L1	0	0	0	0	0	0	0	0	0
EIF4A3	0	0	1	0	0	0	0	0	0
RNA5SP502	0	0	0	0	0	0	0	0	0
E4F1	0	0	0	0	0	0	0	0	0
SPATA19	0	0	0	0	0	0	0	0	0
CAMSAP1	0	0	0	0	0	0	0	0	0
RPS21	0	0	0	0	0	0	0	0	0
ELFN1	0	0	0	0	0	0	0	0	0
ARID5A	0	0	0	0	0	0	0	0	0
MIR4698	0	0	0	0	0	0	0	0	0
C7orf60	0	0	0	0	0	0	0	0	0
RN7SL379P	0	0	0	0	0	0	0	0	0
IGSF8	0	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	0	0	0
LINC00475	0	0	0	0	0	0	0	0	0
KLF4	0	0	0	0	0	0	0	0	0
ACAD11	0	0	0	0	0	0	0	0	0
IFITM10	0	0	0	0	-1	0	0	0	0
C16orf71	0	0	0	0	0	0	0	0	0
KLKB1	0	0	0	0	0	0	0	0	0
BTK	0	0	0	0	0	0	0	0	0
SNORA54	0	0	0	0	-1	0	0	0	0
SYTL5	0	0	0	0	0	0	0	0	0
PIGL	0	0	0	0	0	0	0	0	0
MOB1B	0	0	0	0	0	0	0	0	0
OLFML2A	0	0	0	0	0	0	0	0	0
DNAJC30	0	0	0	0	0	0	0	0	0
HUS1	0	0	0	0	0	1	0	0	0
KIF19	0	0	1	0	0	0	0	0	0
HID1	0	0	1	0	0	0	0	0	0
UIMC1	0	0	0	0	0	0	0	0	0
FXYD2	0	0	0	0	0	0	0	0	0
C17orf77	0	0	1	0	0	0	0	0	0
ZNF667	0	0	0	0	0	0	0	0	0
RN7SL319P	0	0	0	0	0	0	0	0	0
TFEC	0	0	0	0	0	0	0	0	0
ATP7B	0	0	0	0	0	0	0	0	0
RAB38	0	0	0	0	0	0	0	0	0
POLD2	0	0	0	0	0	0	0	0	0
MIR628	0	0	0	0	0	0	0	0	0
PPM1H	0	0	0	0	0	0	0	0	0
NFYC	0	0	0	0	0	0	0	0	0
RN7SL129P	0	0	0	0	0	0	0	0	0
KIN	0	0	0	0	0	0	0	0	0
PLSCR4	0	0	0	0	0	0	0	0	0
PPARGC1A	0	0	0	0	0	0	0	0	0
RN7SKP1	0	0	0	0	0	0	0	0	0
RN7SL525P	0	0	0	0	0	0	0	0	0
LGALS7B	0	0	0	0	0	0	0	0	0
OTOA	0	0	0	0	0	0	0	0	0
EXOC1	0	0	0	0	0	0	0	0	0
FSTL5	0	0	0	0	0	0	0	0	0
OR6A2	0	0	0	0	-1	0	0	0	0
AHRR	0	0	0	0	0	0	0	0	0
PDAP1	0	0	0	0	0	0	0	0	0
TRAV34	0	0	0	0	0	0	0	0	0
POLRMT	0	0	0	0	0	0	0	0	0
ZNF146	0	0	0	0	0	0	0	0	0
ZDHHC11B	0	0	0	0	0	0	0	0	0
ZAN	0	0	0	0	0	0	0	0	0
RNA5SP446	0	0	1	0	0	0	0	0	0
KLHL6	0	0	0	0	0	0	0	0	0
ZNF487	0	0	0	0	0	0	0	0	0
NENF	0	0	0	0	0	0	0	0	0
ZNF324	0	0	0	0	0	0	0	0	0
GJB5	0	0	0	0	0	0	0	0	0
ENTPD7	0	0	0	0	0	0	0	0	0
CYP3A5	0	0	0	0	0	0	0	0	0
PRSS22	0	0	0	0	0	0	0	0	0
CASC4	0	0	0	0	0	0	0	0	0
S100Z	0	0	0	0	0	0	0	0	0
GTSF1	0	0	0	0	0	0	0	0	0
TSTD3	0	0	0	0	0	0	0	0	0
AKIRIN1	0	0	0	0	0	0	0	0	0
PITX1	0	0	0	0	0	0	0	0	0
ATP6AP1L	0	0	0	0	0	0	0	0	0
FHDC1	0	0	0	0	0	0	0	0	0
OR56B4	0	0	0	0	-1	0	0	0	0
MIR452	0	0	0	0	0	0	0	0	0
RDX	0	0	0	0	0	0	0	0	0
SLC34A3	0	0	0	0	0	0	0	0	0
LCN15	0	0	0	0	0	0	0	0	0
DNAJC9	0	0	0	0	0	0	0	0	0
JUND	0	0	0	0	0	0	0	0	0
ZNF568	0	0	0	0	0	0	0	0	0
CHRNB1	0	0	0	0	0	0	0	0	0
EHBP1L1	0	0	0	0	0	0	0	0	0
MT1DP	0	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0	0	0	0
FETUB	0	0	0	0	0	0	0	0	0
LIN28B	0	0	0	0	0	0	0	0	0
TNKS2	0	0	0	0	0	0	0	0	0
CXorf23	0	0	0	0	0	0	0	0	0
MRTO4	0	0	0	0	0	0	0	0	0
C1QBP	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0
NDUFB8	0	0	0	0	0	0	0	0	0
MUC2	0	0	0	0	-1	0	0	0	0
CADPS2	0	0	0	0	0	0	0	0	0
TMEM248	0	0	0	0	0	0	0	0	0
MYF5	0	0	0	0	0	0	0	0	0
IL23A	0	0	0	0	0	0	0	0	0
SRMS	0	0	0	0	0	0	0	0	0
GJA9	0	0	0	0	0	0	0	0	0
MIR4666B	0	0	0	0	0	0	0	0	0
WDR65	0	0	0	0	0	0	0	0	0
PSTK	0	0	0	0	0	0	0	0	0
STOML3	0	0	0	0	0	0	0	0	0
R3HDM2	1	0	0	0	0	1	0	0	0
C5	0	0	0	0	0	0	0	0	0
SLC2A10	0	0	0	0	0	0	0	0	0
TCP1	0	0	0	0	0	0	0	0	0
PTCRA	0	0	0	0	0	0	0	0	0
MTRNR2L8	0	0	0	0	-1	0	0	0	0
HCRTR1	0	0	0	0	0	0	0	0	0
ARHGEF26	0	0	0	0	0	0	0	0	0
PAWR	0	0	0	0	0	0	0	0	0
TBC1D3B	0	0	0	0	0	0	0	0	0
SNORD91A	0	0	0	0	0	0	0	0	0
IGLJ3	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
PREX2	0	0	0	0	0	0	0	0	0
SYCE3	0	0	0	0	0	0	0	0	0
ASTN2	0	0	0	0	0	0	0	0	0
SCRN1	0	0	0	0	0	0	0	0	0
LINC00577	0	0	0	0	0	0	0	0	0
RPS20P22	0	0	0	0	0	0	0	0	0
COQ10A	0	0	0	0	0	0	0	0	0
TAB2	0	0	0	0	0	0	0	0	0
DDI2	0	0	0	0	0	0	0	0	0
KIAA0930	0	0	0	0	0	0	0	0	0
KIF4A	0	0	0	0	0	0	0	0	0
METTL7B	0	0	0	0	0	0	0	0	0
TANC2	0	0	1	0	0	0	0	0	0
WDR16	0	0	0	0	0	0	0	0	0
ZNF511	0	0	0	0	-1	0	0	0	0
POLR3G	0	0	0	0	0	0	0	0	0
NXF4	0	0	0	0	0	0	0	0	0
ZNF586	0	0	0	0	0	0	0	0	0
SNORA11C	0	0	0	0	0	0	0	0	0
ANXA8	0	0	0	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0	0	1	0
ZNF726	0	0	0	0	0	0	0	0	0
OR11L1	0	0	0	0	0	0	0	0	0
PELI3	0	0	0	0	0	0	0	0	0
RN7SKP151	0	0	0	0	0	0	0	0	0
LIMD2	0	0	1	0	0	0	0	0	0
TMEM189	0	0	0	0	0	0	0	0	0
NTN4	0	0	0	0	0	0	0	0	0
WFIKKN1	0	0	0	0	0	0	0	0	0
SERP1	0	0	0	0	0	0	0	0	0
RN7SL223P	0	0	0	0	0	0	0	0	0
CNTNAP3B	0	0	0	0	0	0	0	0	0
TACR2	0	0	0	0	0	0	0	0	0
SVOPL	0	0	0	0	0	0	0	0	0
NUP85	0	0	1	0	0	0	0	0	0
CD177	0	0	0	0	0	0	0	0	0
CLEC2A	0	0	0	0	0	0	0	0	0
PIGG	0	0	0	0	0	0	0	0	0
JAK2	0	0	0	0	0	0	0	0	0
LGR5	0	0	0	0	0	0	0	0	0
DPYSL4	0	0	0	0	-1	0	0	0	0
TM9SF4	0	0	0	0	0	0	0	0	0
MIR3671	0	0	0	0	0	0	0	0	0
SIRPG	0	0	0	0	0	0	0	0	0
ZNF264	0	0	0	0	0	0	0	0	0
BICD1	0	0	0	0	0	0	0	0	0
RNA5SP352	0	0	0	0	0	0	0	0	0
METTL5	0	0	0	0	0	0	0	0	0
DCAF11	0	0	0	0	0	0	0	0	0
