A1CF	MNT
ADAM10	KIR2DL4
ADAM12	ZNF257
ADAM15	DSCAM
ADAM17	PCDHB6
ADAM19	IVL
ADAM2	CD151
ADAM23	NMB
ADAM8	GNLY
ADAM9	ABCC2
ADAMTS1	TPM4
ADAMTS10	ZNF549
ADAMTS12	CCND2
ADAMTS13	SOX10
ADAMTS14	PSMA4
ADAMTS16	OR2AK2
ADAMTS17	TAF7
ADAMTS18	SLC4A2
ADAMTS19	UBE2Z
ADAMTS2	CDC16
ADAMTS4	PPIL2
ADAMTS5	BORA
ADAMTS6	CST7
ADAMTS7	OR1S1
ADAMTS8	PTPN18
ADAMTS9	DDX58
ADAP1	PEX3
ADAR	ZFP3
ADARB1	CARD6
ADCY1	PTPRCAP
ADCY10	KITLG
ADCY2	ACTA1
ADCY3	MAD2L2
ADCY4	UBE2L3
ADCY5	RPL35
ADCY6	H2AFX
ADCY7	ZNF705C
ADCY8	ECT2
ADCY9	OR7D2
ADCYAP1	TBX6
ADCYAP1R1	GPR65
ADD1	RPL3
ADD2	STX2
ADD3	DET1
ADFP	CREB5
ADH1A	NCAPD2
ADH1B	CSDA
ADH1C	HS24/P52
ADH5	OSBPL5
ADH6	TNFSF18
ADH7	GML
ADIPOQ	ZNF398
ADIPOR1	ECEL1
ADIPOR2	NHLH2
ADM	CCL4
ADNP	CACNA1E
ADORA1	RRN3
ADORA2A	FKBP8
ADORA2B	IGLV11-55
ADORA3	STK38
ADRA1A	AAK1
ADRA1B	NLGN1
ADRA1D	UBL7
ADRA2A	ZNF649
ADRA2B	ASF1B
ADRA2C	NPTX2
ADRB1	SIP1
ADRB2	ZNF823
ADRB3	OR11L1
ADRBK1	TYR
ADRBK2	XPO1
ADRM1	CACNA2D3
AEBP1	ZNF563
AES	FOX1
AFAP1L2	BTC
AFF4	RPH3A
AFG3L2	LHCGR
AFP	MLL2
AGA	UCP3
AGAP2	MAN2A2
AGAP3	MYL7
AGER	ZNF490
AGGF1	FGFR2
AGL	RPL6
AGPS	BLZF1
AGRN	CUGBP2
AGRP	POLR1D
AGT	IRAK1
AGTR1	CYP2B6
AGTR2	KIR2DS1
AGXT	HADHB
AHCTF1	CPA5
AHNAK	NUP133
AHR	TES
AHRR	TBXAS1
AHSA1	MAP4K1
AHSG	EI24
AICDA	ZNF582
AIFM1	GRID2
AIFM2	SH3PXD2A
AIP	RAB36
AIRE	WNT9A
AK2	OR56A3
AK3	OR2G3
AK3L1	POFUT1
AKAP1	GTF3C1
AKAP11	ARHGAP11A
AKAP12	TAS2R16
AKAP13	FAH
AKAP3	SGCA
AKAP4	MAP3K4
AKAP5	CCDC6
AKAP6	TOB1
AKAP7	FAIM
AKAP8	TUFT1
AKAP8L	RBPSUHL
AKAP9	NFATC2
AKR1A1	OR1K1
AKR1B1	SIPA1L1
AKR1B10	FOXD3
AKR1C1	NXF1
AKR1C2	COX7A2L
AKR1C3	NCBP2
AKR1CL2	MATN3
AKR7A2	PRTN3
AKR7A3	GDF5
AKT1	SRPR
AKT2	HIST1H2BC
AKT3	DAG1
ALAD	GPR124
ALAS1	CD7
ALAS2	GRIK1
ALB	PPP2R5A
ALCAM	ZC3H11A
ALDH1A1	MASTL
ALDH1A3	CARM1
ALDH1L1	RGMA
ALDH3A1	S100A11
ALDH3A2	GLI3
ALDH4A1	SIRT3
ALDH5A1	RPL37
ALDOA	PPIC
ALDOB	GYPB
ALDOC	SPOP
ALG1	SFRS2
ALK	IL13
ALKBH3	PC
ALMS1	KIF4B
ALOX12B	OR4D2
ALOX15B	GSX2
ALOX5	MMP23A
ALOX5AP	PCDHGB5
ALPI	DIRAS1
ALPK3	KCNJ8
ALPL	PUM2
ALPP	CDKN2A
ALS2	CNOT4
ALS2CR8	AGAP2
ALX1	ARHGEF1
ALX3	COL1A2
ALX4	LRP10
AMBP	ELMO1
AMELX	BPGAP1
AMELY	VPS16
AMFR	RGL1
AMH	ZNF345
AMHR2	PIAS2
AMIGO2	ICAM2
AMN	MIA2
AMPH	CD164
ANAPC1	UCHL3
ANAPC10	NOVA1
ANAPC2	PIR
ANAPC4	STX16
ANAPC5	EMSY
ANAPC7	CAP2
ANG	ALS2CR8
ANGPT1	RPL7
ANGPT2	IL6
ANGPT4	UGT1A1
ANGPTL1	CAP1
ANGPTL3	MPP6
ANGPTL4	ATP5J
ANK1	GSPT2
ANK2	TSNARE1
ANK3	NCOA4
ANKRA2	ELL2
ANKRD1	LOC392787
ANKRD11	POLR3E
ANKRD28	RAD51C
ANKRD6	TRAM2
ANKRD7	NPB
ANKZF1	CD58
ANLN	KRAS
ANP32A	KCNMB1
ANP32B	OR51S1
ANP32C	GNB5
ANP32E	IREB2
ANPEP	SYT14
ANTXR1	SYN2
ANXA1	UQCR10
ANXA11	RAPH1
ANXA2	CD200
ANXA3	OR52R1
ANXA4	UGT2B11
ANXA5	TNS3
ANXA6	ZNF100
ANXA7	DHX16
AOF2	OR8H1
AOX1	COL6A6
AP1B1	IL15RA
AP1G1	DRD5
AP1G2	BIRC8
AP1M2	SNRPG
AP1S1	EYA1
AP1S2	GPR77
AP2A2	EEA1
AP2B1	KRT31
AP2M1	SH3BP5
AP2S1	NEFL
AP3B1	ZAP70
AP3B2	LIN9
AP3D1	MMP9
AP3M1	FFAR2
AP3S1	GAD1
AP3S2	RPS3
AP4B1	TXK
AP4E1	LRAT
AP4M1	BCL7A
AP4S1	MT-ND3
APAF1	EMID1
APBA1	NKTR
APBA2	HCRTR1
APBA3	PIF1
APBB1	TRPC7
APBB1IP	FECH
APBB2	RPL26
APBB3	ADAM21
APC	ZNF501
APC2	IK
APCS	GDF3A
APEX1	CHRDL1
APEX2	CCS
APH1A	TDRD7
APH1B	CABP1
API5	OR2T5
APITD1	CPSF1
APLF	TRAT1
APLNR	ACD
APLP1	ARCN1
APLP2	CRIM1
APOA1	TLE1
APOA2	SIGLEC7
APOA4	ZNF187
APOA5	ACAA1
APOB	TULP1
APOBEC1	COL11A2
APOBEC2	CDT1
APOBEC3G	NDUFB6
APOC1	BPTF
APOC2	BCCIP
APOC3	SNX15
APOD	IKBKB
APOE	KCNJ5
APOF	TNFSF8
APOH	CBR1
APOL1	DLEU1
APP	DBNL
APPBP2	SPINK1
APPL1	DSC1
APPL2	EIF5A
APRT	PHC1
APTX	ATP13A3
AQP1	TCEB1
AQP2	ADCY5
AQP3	SSX2IP
AQP4	GTF2IRD1
AQP5	PPP5C
AQP6	COL6A1
AQP7	FTHL17
AQR	RPL9
AR	JAG1
ARAF	CHRNB4
ARAP2	RASAL2
ARAP3	TRIM24
ARCN1	SLC7A5
ARD1A	CHRD
AREG	PSMF1
ARF1	PARP4
ARF3	OR52H1
ARF4	RPP14
ARF5	CARD8
ARF6	DNAJC27
ARFGAP1	TNNT1
ARFGAP2	DNTTIP2
ARFGAP3	HBD
ARFGEF1	ERCC4
ARFGEF2	IGF1R
ARFIP1	PIK3C3
ARFIP2	MED12L
ARFRP1	P2RY10
ARG1	CORO7
ARG2	ATXN2
ARHGAP1	LYAR
ARHGAP10	TAC4
ARHGAP11A	PKLR
ARHGAP11B	CHAF1B
ARHGAP12	SCUBE3
ARHGAP15	GABRA2
ARHGAP17	NUDT6
ARHGAP19	ZNF676
ARHGAP20	POP7
ARHGAP22	C8G
ARHGAP24	GPR37L1
ARHGAP25	RTN4R
ARHGAP26	UQCRFS1
ARHGAP28	ANAPC5
ARHGAP29	PCSK5
ARHGAP30	CEBPE
ARHGAP4	TMED5
ARHGAP5	OR9Q2
ARHGAP6	OR10A7
ARHGAP8	PTPRF
ARHGAP9	PIGQ
ARHGDIA	DNAH7
ARHGDIB	CSF1
ARHGDIG	KHDRBS3
ARHGEF1	COQ7
ARHGEF11	SPRED1
ARHGEF12	IL4
ARHGEF15	ZNF408
ARHGEF16	PYGM
ARHGEF17	RASIP1
ARHGEF18	POLR2E
ARHGEF2	APBB3
ARHGEF3	SELS
ARHGEF4	PCDHGA5
ARHGEF5	CNGA2
ARHGEF6	XPOT
ARHGEF7	CFD
ARHGEF9	CNR1
ARID1A	GRIN2B
ARID1B	ACVR2B
ARID2	OBSL1
ARID3A	SULT1A1
ARID3B	MARK4
ARID3C	ORC5L
ARID4A	PKN2
ARID4B	PEO1
ARIH1	CLDN18
ARIH2	ALDH1A1
ARL1	COPB2
ARL15	SLBP
ARL17	PDCD1LG2
ARL2	HTR4B
ARL3	OR8J1
ARL4A	MUSK
ARL4D	ZNF146
ARL5A	NUP155
ARL5B	ASH2L
ARL6IP5	CALML6
ARL8B	TLR3
ARMC6	TRAF7
ARNT	CPSF2
ARNT2	NOS2
ARNTL	TIMM8A
ARNTL2	SLC3A2
ARPC1A	SNF1LK2
ARPC1B	OR5D16
ARPC2	DNAH2
ARPC3	KISS1R
ARPC4	HNRNPA1
ARPC5	WISP2
ARPC5L	ANXA2
ARR3	PTX3
ARRB1	NR5A2
ARRB2	ZNF81
ARSA	ADAMTS4
ARSB	CR2
ARSF	PLA2G1B
ARTN	CXCR5
ARVCF	RAB6A
ASAH1	CENPI
ASAP1	IL10
ASAP2	GNB3
ASB13	BCL6
ASB2	PDGFB
ASB6	DVL1
ASB8	TSC2
ASCC1	CNOT7
ASCC2	TNFSF14
ASCC3	PRMT6
ASCL1	STK3
ASCL2	ROPN1
ASCL3	UBE2I
ASF1A	RPS6KB1
ASF1B	GRK4
ASGR1	ORC2L
ASGR2	DMA
ASH1L	SFRS2B
ASH2L	DDX5
ASIP	RASGRP4
ASNS	RND2
ASPH	MLN
ASPM	LTB
ASPSCR1	TNK1
ATAD2	DKFZP686D0662
ATE1	GAS2
ATF1	BAT3
ATF2	IGJ
ATF3	SLC10A2
ATF4	AHSG
ATF5	RAI14
ATF6	MTA1
ATF7	SLC7A11
ATF7IP	IGLV3-27
ATG10	PCTK1
ATG12	TLR1
ATG16L2	PDZD3
ATG3	TBP
ATG4A	TFF2
ATG4B	NR2C2AP
ATG5	PLEK2
ATG7	FUSIP1
ATIC	CYP27A1
ATM	MYH11
ATN1	CDC42
ATOH1	MYBL1
ATOX1	OR2A4
ATP12A	ZNF208
ATP13A1	CASP2
ATP13A3	ADAMTS12
ATP1A1	INPP1
ATP1A3	TNFRSF13C
ATP1B1	ISG15
ATP1B2	IGHV1-69
ATP1B3	SUDS3
ATP2A1	EXOSC5
ATP2A2	SLC25A31
ATP2A3	PSMD13
ATP2B2	SERPINB9
ATP2B4	DDX23
ATP2C1	SUMO2
ATP2C2	ZW10
ATP4A	MED4
ATP5A1	TRIP4
ATP5B	F2RL2
ATP5C1	GCC2
ATP5D	EPRS
ATP5E	SERPINA4
ATP5F1	MAPK6
ATP5G1	OR2Z1
ATP5G2	MX1
ATP5G3	U2AF1
ATP5H	DHX57
ATP5I	TSNAX
ATP5J	AP4E1
ATP5J2	CCKAR
ATP5L	FADD
ATP5O	ZNF625
ATP6AP1	S100A8
ATP6AP2	RRM2
ATP6V0B	ACTL6B
ATP6V0C	KRT18
ATP6V0D1	HLA-DMB
ATP6V0E1	NOTCH2
ATP6V1A	OR7C2
ATP6V1B1	MEIS3P2
ATP6V1B2	CTSL1
ATP6V1D	ZWILCH
ATP6V1E1	NSMAF
ATP6V1G1	ZNF701
ATP6V1G2	APOB
ATP6V1H	GK
ATP7A	ADAMTS17
ATP7B	DCK
ATP8A1	APOC1
ATP8A2	PAPOLA
ATP8B1	WEE1
ATP8B2	ORAI1
ATP8B3	EFNA5
ATP8B4	NOS3
ATR	UTF1
ATRX	SPC24
ATXN1	FBXW11
ATXN2	EPHA5
ATXN3	ETF1
ATXN7	MPP1
AUP1	ACTR1B
AURKA	NPBWR2
AURKAIP1	UNC13D
AURKB	GDF15
AURKC	CYP1A1
AVEN	CBR3
AVP	IL7
AVPR1A	ZNF614
AVPR1B	PCDHGC5
AVPR2	MAP3K3
AXIN1	RDX
AXIN2	IGHV7-81
AXL	OR4A15
AZGP1	KIAA0146
AZI1	WNT10A
AZIN1	C20ORF95
AZU1	EIF2AK2
B2M	CCL1
B3GAT3	ITIH2
B4GALT1	COL10A1
B4GALT5	RUVBL1
B9D2	C3
BACE1	NUB1
BACE2	ITPR3
BACH1	COX6C
BACH2	RXRG
BAD	PRSS3
BAG1	GCC1
BAG2	ZNF782
BAG3	TUBA1C
BAG4	PIK3CB
BAG5	HNRNPR
BAI1	FCER1G
BAI2	NPBWR1
BAI3	SRP68
BAIAP2	SRGAP1
BAK1	OR10K2
BAMBI	TNPO2 VARIANT PROTEIN
BANF1	MAP4
BANP	SPAG16
BARD1	UBE2R2
BARX2	CUL3
BAT1	CNDP1
BAT2	ZNF212
BAT3	ACT
BAT4	MMS19
BATF	SNUPN
BATF3	OAZ2
BAX	RPS26
BAZ1A	MTMR2
BAZ1B	GIT1
BAZ2A	SMARCA4
BAZ2B	RHO
BBC3	ZKSCAN2
BBS4	PTPRE
BBS7	HNRNPUL1
BCAM	DYNC1LI2
BCAN	MATR3
BCAP29	IGHV4-31
BCAP31	NES
BCAR1	TBX5
BCAR3	PARD6G
BCAS2	SNX26
BCAT1	OR10H1
BCAT2	S100B
BCCIP	MCAM
BCHE	FBP2
BCKDHA	HTR4
BCKDHB	IFT57
BCKDK	SMN1
BCL10	EYA2
BCL11A	CA3
BCL11B	KISS1
BCL2	THAP11
BCL2A1	PODXL2
BCL2L1	SRI
BCL2L10	TAS1R2
BCL2L11	HMMR
BCL2L14	SRP14
BCL2L2	CUGBP1
BCL3	CDC42EP5
BCL6	AFG3L2
BCL6B	EXOSC8
BCL7A	CDH9
BCL9	C21ORF33
BCLAF1	CMTM3
BCOR	MPHOSPH1
BCR	KIAA0528
BDKRB1	KCNJ4
BDKRB2	ZNF248
BDNF	EIF2C2
BDP1	FBXW7
BECN1	AZU1
BET1	PDK2
BET1L	ATP5E
BEX1	ACACB
BFAR	CDH23
BGN	BATF
BHLHB2	TOMM7
BHLHB3	BOP1
BHLHB8	PHOX2B
BICD1	DAP
BICD2	ZNF3
BID	ALX3
BIK	SLC25A10
BIN1	ACTR3B
BIN2	CD3D
BIN3	GMPPA
BIRC2	TENC1
BIRC3	RNF19A
BIRC5	RDH10
BIRC6	FLG
BIRC7	RNF123
BIRC8	WBP4
BLK	RPL8
BLM	KDELR1
BLNK	THRA
BLOC1S1	MBTPS2
BLOC1S2	SLC25A1
BLVRB	CDK10
BLZF1	FOXG1
BMI1	OMG
BMP1	SEMA6C
BMP10	GJA8
BMP15	RAB11A
BMP2	SIN3B
BMP2K	DPYSL3
BMP3	CBX8
BMP4	CDH6
BMP5	TMOD4
BMP6	DVL3
BMP7	BDP1
BMP8A	OR4Q2
BMP8B	FFR
BMPR1A	TFCP2
BMPR1B	TTN
BMPR2	SLC25A13
BMX	ZNF442
BNC1	FABP5
BNC2	ERRFI1
BNIP1	HMGN1
BNIP2	TRPC4
BNIP3	FGF19
BNIP3L	NR1H3
BNIPL	SYTL4
BOC	HMGA2
BOK	CRB3
BOP1	EPC2
BPGM	CLDN16
BPI	CACNA1S
BPNT1	COX7C
BPTF	POLR3H
BPY2	RICTOR
BRAF	ASNS
BRAP	ZPBP
BRCA1	AGL
BRCA2	PTPRU
BRCC3	SECTM1
BRD8	COPZ2
BRE	CDC40
BRF1	QSK
BRF2	LIMA1
BRIP1	OR2F1
BRMS1	NAPSA
BRS3	DDB2
BRSK1	PACSIN2
BRSK2	DOCK1
BRWD1	DEFA3
BSG	GPSM1
BSPRY	LDHB
BST1	PRDM7
BTAF1	AASDHPPT
BTBD1	KPNA2
BTC	NDUFS1
BTF3	GLI1
BTG1	CYLC2
BTG2	STX18
BTG3	FOXF2
BTK	DKFZP666O0110
BTN3A3	OAS2
BTRC	RAB18
BUB1	SIRPG
BUB1B	LGR5
BUB3	GTF3C2
BXDC1	ZNF174
BXDC2	STAM2
BYSL	TGFBRAP1
BZW1	MAPRE2
C1GALT1	PIN4
C1QA	IL20RB
C1QB	ZNF806
C1QBP	ARNT
C1QC	CENPK
C1QTNF5	LILRB2
C1R	LGMN
C1S	EXT1
C2	EIF3L
C3	CEP72
C3AR1	PNN
C4A	TRIM5
C4B	GNPAT
C4BPA	MAML2
C4BPB	DKFZP586H0919
C5	YTHDC1
C5AR1	ACOX3
C6	PSMD4
C7	RND3
C8A	CAPZA1
C8B	FLI1
C8G	ELA2B
C9	FANCD2
CA1	CPT1A
CA12	SDHA
CA2	ARHGEF18
CA3	ARL4A
CA9	GNAT3
CAB39	ITGB1
CAB39L	CPA2
CABIN1	ABL2
CABP1	CASP9
CABP2	HLA-DQA1
CABP5	UBE2J1
CACNA1A	CD97
CACNA1B	CEACAM5
CACNA1C	TC4
CACNA1D	HLA-A*03
CACNA1E	AGAP1
CACNA1F	OR2I1P
CACNA1G	SLA
CACNA1H	PRDM9
CACNA1I	MEIS3P1
CACNA1S	OGT
CACNA2D1	RHOBTB1
CACNA2D2	LPA
CACNA2D3	PDGFRA
CACNA2D4	CLPS
CACNB1	GTF2F2
CACNB2	HIPK3
CACNB3	OR8G5
CACNB4	FOXM1
CACNG1	BBC3
CACNG2	CNOT6
CACNG3	OR5D14
CACNG4	HYAL2
CACNG5	PPIA
CACYBP	SPTBN2
CAD	ZNF34
CALB1	PRKCG
CALB2	PLCB4
CALCA	YWHAG
CALCOCO1	NOL3
CALCR	OR2Y1
CALD1	TPO
CALM1	KBF2
CALML3	CHMP4B
CALML5	SETD8
CALML6	PRDX1
CALR	PLCB3
CALR3	CBFA2T2
CAMK1	CRYAB
CAMK1D	SCIN
CAMK2A	CFHR4
CAMK2B	ACTL7B
CAMK2G	TNXB
CAMK4	FBXO44
CAMKK1	MYLPF
CAMKK2	ABCA4
CAMLG	SEMA3G
CAMP	TSEN54
CAND1	CCNB3
CAND2	ZNF91
CANX	AP1G1
CAP1	PRSS7
CAP2	SART3
CAPG	GTF3A
CAPN1	TNFRSF17
CAPN10	KLRD1
CAPN13	CPSF4
CAPN2	FAT2
CAPN3	NSUN2
CAPN5	RNH1
CAPN6	APOBEC1
CAPN7	ADRB1
CAPN9	LIMS1
CAPNS1	ZNF749
CAPNS2	IRF5
CAPRIN1	BIRC3
CAPZA1	CTSG
CAPZA2	PPIG
CAPZA3	SMARCA2
CAPZB	OR5A1
CARD10	OR5AN1
CARD11	AP1M1
CARD14	JAM3
CARD6	OR2A5
CARD8	PTPRT
CARD9	UBA2
CARHSP1	JMJD2C
CARM1	GSR
CASC3	RGS14
CASC5	UBE2G1
CASK	ZBTB11
CASKIN1	IRX4
CASP1	PARP14
CASP10	SPC18
CASP14	ANKRD1
CASP2	PRAM1
CASP3	VPS35
CASP4	UBR5
CASP5	ZBTB2
CASP6	UBXN8
CASP7	PEX1
CASP8	CD93
CASP8AP2	AQP2
CASP9	EVPL
CASR	TULP4
CAST	HOXA9
CAT	ZNF181
CATSPER2	HES6
CAV1	CGB
CAV2	DKFZP586O1922
CAV3	MYO1E
CBFA2T2	TLR9
CBFA2T3	PAX1
CBFB	UBLCP1
CBL	RAB3C
CBLB	PIK3R2
CBLC	SV2B
CBLN1	COG1
CBR1	CD59
CBR3	TBK1
CBS	TRPM5
CBX1	TUBG2
CBX2	CLCA4
CBX3	SDHD
CBX4	ZNF410
CBX5	ZNF543
CBX7	EDARADD
CBX8	HBEGF
CCAR1	ZFP36
CCBP2	CD3G
CCDC101	TPH1
CCDC59	SAT2
CCDC6	IQGAP3
CCDC99	CASKIN1
CCHCR1	ARL3
CCK	L1CAM
CCKAR	IFNA2
CCKBR	BMP7
CCL1	SNW1
CCL11	HIST2H2AA3
CCL13	OR2L13
CCL14	UBA1
CCL15	PTMA
CCL16	CACNA2D4
CCL17	CDC7
CCL18	NTF4
CCL19	XAB2
CCL2	ROCK1
CCL20	OASL
CCL21	NRBP1
CCL22	TNFSF15
CCL23	ZNF334
CCL24	NFIB
CCL26	CYP51A1
CCL27	SEPT1
CCL3	DUS1L
CCL3L1	PERP
CCL5	TGIF1
CCL7	POU4F1
CCL8	PRMT5
CCM2	CDC42EP1
CCNA1	FBXO25
CCNA2	UBE2T
CCNB1	PVR
CCNB2	SKIV2L2
CCNB3	CER1
CCNC	SNRPC
CCND1	TERF2
CCND2	OLIG2
CCND3	GOSR2
CCNE1	COL6A3
CCNE2	TLN2
CCNF	LONP2
CCNG1	IQSEC2
CCNG2	CHRM2
CCNH	PER3
CCNK	KLF2
CCNL1	ZNF546
CCNL2	USP1
CCNO	CARD9
CCNT1	MSMB
CCNT2	RAB33B
CCR1	PSMD7
CCR10	RBM4B
CCR2	ZNF184
CCR3	FBP1
CCR4	REG3A
CCR5	COL20A1
CCR6	GTF2E1
CCR7	STK24
CCR8	OR5F1
CCR9	MFN1
CCRK	HIRIP3
CCRL1	PRMT3
CCRN4L	IL5
CCS	SNAPC1
CCT2	PRPH
CCT3	TFEB
CCT4	NKRF
CCT5	RBM23
CCT6A	OR6C6
CCT6B	TNFRSF10A
CCT7	TRBV5-4
CCT8	YWHAZ
CCT8L1	CUL5
CCT8L2	TUBB2A
CD14	CCR9
CD151	HK1
CD160	MT-CO2
CD163	VPS26B
CD164	PLEC1
CD177	SYVN1
CD180	CPSF7
CD19	CYP24
CD1A	ZNF295
CD1B	OR2B2
CD1C	LAMC3
CD1D	PLXND1
CD1E	ABCG5
CD2	NEU3
CD200	TAF1A
CD209	MASP2
CD22	KCNA4
CD226	CREBBP VARIANT PROTEIN
CD24	EYA4
CD244	DIXDC1
CD247	RAPSN
CD27	VPS11
CD274	TGIF2
CD28	CCDC5
CD2AP	ZFP62
CD2BP2	GRLF1
CD300A	TREM1
CD33	EHD4
CD34	IL2RG
CD36	RIPK3
CD37	S1PR1
CD38	TBPL1
CD3D	OR52N5
CD3E	BAI2
CD3EAP	MAT1A
CD3G	TPH2
CD4	CACNG8
CD40	NXF5
CD40LG	DKFZP686H1993
CD44	SUCLG2
CD46	MOBKL3
CD47	DUSP12
CD48	MT-CO1
CD5	TNPO1
CD52	TGM2
CD53	CACNG2
CD55	OR5C1
CD58	ADCYAP1
CD59	ASB6
CD6	OR5AR1
CD63	MARK3
CD69	SF3B14
CD7	DCLRE1C
CD70	APBB1IP
CD72	LMX1A
CD74	MARCH8
CD79A	NXT2
CD79B	DVL2
CD80	SSPN
CD81	TAC3
CD82	THBS4
CD83	ARFGAP2
CD84	PYGO1
CD86	SLC1A6
CD8A	HIRA
CD8B	CGN
CD9	XIAP
CD93	IL24
CD96	NPAS1
CD97	ZNF583
CDC14A	RHOB
CDC14C	KLF1
CDC16	MKL1
CDC2	POLE3
CDC20	OR10A4
CDC23	C1R
CDC25A	OR4N4
CDC25B	ZNF639
CDC25C	CASP5
CDC27	UBQLN4
CDC2L1	DYRK1A
CDC2L2	MORF4L1
CDC2L5	SLC1A1
CDC34	HPRT1
CDC37	ARL4D
CDC40	IGHE
CDC42	RFX5
CDC42BPA	HIST1H2AA
CDC42BPB	TRA2A
CDC42EP1	GCLM
CDC42EP2	GRHL3
CDC42EP3	SCGB1D2
CDC42EP4	ZNF433
CDC42SE1	GPR3
CDC45L	IGLV3-25
CDC5L	CXCR7
CDC6	HOXA5
CDC7	SRA1
CDC73	XRCC5
CDCA3	EPB42
CDCA8	STIL
CDH1	RPS16
CDH10	ATG10
CDH11	OR10H2
CDH12	P2RY6
CDH13	SSTR3
CDH15	SPA17
CDH16	RPL21
CDH17	S100A2
CDH18	PDE4D
CDH19	PHKB
CDH2	PDP1
CDH20	PDHB
CDH22	ZFYVE20
CDH23	ZNF772
CDH3	VPS41
CDH4	CALB1
CDH5	LCAT
CDH6	IRF2
CDH7	CD1D
CDH8	TNFRSF11B
CDH9	TRAPPC3
CDIPT	SOX15
CDK10	ATP6V1D
CDK2	NR1I2
CDK2AP1	ADM
CDK3	PROC
CDK4	SIAH1
CDK5	OR10Z1
CDK5R1	UQCRB
CDK5R2	CSRP3
CDK5RAP1	RALY
CDK5RAP2	TPTE
CDK5RAP3	ALDOC
CDK6	ETFDH
CDK7	GNGT1
CDK9	MAML3
CDKL1	OR4K15
CDKL2	OR10G6
CDKN1A	ERP29
CDKN1B	ACP5
CDKN1C	CACNA1F
CDKN2A	OR5L1
CDKN2B	CACNB4
CDKN2C	PSMD14
CDKN2D	TINP1
CDKN3	LEFTY2
CDON	NBEA
CDS1	HDAC8
CDS2	PDE1A
CDSN	RAB3D
CDT1	DBP
CDV3	ZNF141
CDX1	MTX2
CDX2	NMDAR2C
CDX4	PAG1
CDYL	SMPD3
CEACAM1	MUTYH
CEACAM3	ZNHIT3
CEACAM5	CYP11B1
CEACAM6	TAAR5
CEACAM8	CLDN5
CEBPA	PAPD1
CEBPB	HBP1
CEBPD	OR11H1
CEBPE	NUAK1
CEBPG	NME1
CEBPZ	CBLC
CECR1	TUBG1
CEL	TIMM50
CELSR1	BHLHB8
CELSR2	LYPLA1
CELSR3	CLCN2
CENPA	HTR2B
CENPB	MARK2
CENPC1	GDNF
CENPE	ALG2
CENPF	ITGAM
CENPH	KAL1
CENPI	TGFB1
CENPJ	MGRN1
CENPM	FTH1
CENPN	PAIP2
CENPQ	IL9R
CENPT	OR5I1
CEP110	PPP2R5C
CEP135	ZNF28
CEP152	P2RY1
CEP164	CLTA
CEP170	ZNF57
CEP192	RAB6B
CEP250	LHB
CEP27	VDAC3
CEP290	ZNF630
CEP55	KCNV1
CEP57	BLOC1S1
