GENE	TYPE	SAMPLE_ID	MODULE
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
TUBB4	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAM1	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
HDAC1	PHENOTYPE	1	0
LMO3	PHENOTYPE	1	0
TUBB4	PHENOTYPE	1	0
IGHM	PHENOTYPE	1	0
IGKC	PHENOTYPE	1	0
MBP	PHENOTYPE	1	0
MOG	PHENOTYPE	1	0
MSN	PHENOTYPE	1	0
PAK3	PHENOTYPE	1	0
PIK3R1	PHENOTYPE	1	0
PLP1	PHENOTYPE	1	0
PSMB8	PHENOTYPE	1	0
PSMB9	PHENOTYPE	1	0
SFN	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAM1	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
MYC	PHENOTYPE	1	0
PBK	PHENOTYPE	1	0
SFN	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAM1	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
SCG2	PHENOTYPE	1	0
SFN	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAM1	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
TYMS	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
ZWINT	PHENOTYPE	1	0
KIF5C	PHENOTYPE	1	0
KLC1	PHENOTYPE	1	0
TUBB4	PHENOTYPE	1	0
TUBB6	PHENOTYPE	1	0
CDK5	EXPLAINED	1	0
MAPK10	EXPLAINED	1	0
MAPK13	EXPLAINED	1	0
MAPT	EXPLAINED	1	0
MEF2C	EXPLAINED	1	0
NCF2	EXPLAINED	1	0
NEFH	EXPLAINED	1	0
NEFL	EXPLAINED	1	0
NEFM	EXPLAINED	1	0
PIN1	EXPLAINED	1	0
PTPRR	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
S100B	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
STXBP1	EXPLAINED	1	0
SYT1	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
IRF8	EXPLAINED	1	0
ITGB2	EXPLAINED	1	0
LAMB3	EXPLAINED	1	0
LCK	EXPLAINED	1	0
LCP2	EXPLAINED	1	0
MMP1	EXPLAINED	1	0
MMP12	EXPLAINED	1	0
MMP2	EXPLAINED	1	0
MMP7	EXPLAINED	1	0
MMP9	EXPLAINED	1	0
NCF2	EXPLAINED	1	0
PLCG2	EXPLAINED	1	0
PPP3CA	EXPLAINED	1	0
PPP3R1	EXPLAINED	1	0
PRKACB	EXPLAINED	1	0
PRKAR2B	EXPLAINED	1	0
PTPRC	EXPLAINED	1	0
PTPRCAP	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RGS13	EXPLAINED	1	0
RGS17	EXPLAINED	1	0
RGS4	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SERPINE2	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
TAP1	EXPLAINED	1	0
TFPI	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
TNFAIP8	EXPLAINED	1	0
TRAF3IP3	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
UCP2	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
ITGB2	EXPLAINED	1	0
LCP2	EXPLAINED	1	0
PLCG2	EXPLAINED	1	0
PPP3CA	EXPLAINED	1	0
PPP3R1	EXPLAINED	1	0
PRKACB	EXPLAINED	1	0
PRKAR2B	EXPLAINED	1	0
PTPRC	EXPLAINED	1	0
PTPRCAP	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RGS13	EXPLAINED	1	0
RGS17	EXPLAINED	1	0
RGS4	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
SRGN	EXPLAINED	1	0
TAP1	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
TNFAIP8	EXPLAINED	1	0
TRAF3IP3	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
UCP2	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
GNAO1	EXPLAINED	1	0
GNAZ	EXPLAINED	1	0
PRKACB	EXPLAINED	1	0
PRKAR2B	EXPLAINED	1	0
WNT5A	EXPLAINED	1	0
HLA-F	EXPLAINED	1	0
ICAM3	EXPLAINED	1	0
IGKV1-5	EXPLAINED	1	0
IGLV3-25	EXPLAINED	1	0
ITGB2	EXPLAINED	1	0
LCK	EXPLAINED	1	0
LCP2	EXPLAINED	1	0
LILRB1	EXPLAINED	1	0
PLCG2	EXPLAINED	1	0
PPP3CA	EXPLAINED	1	0
PPP3R1	EXPLAINED	1	0
PTPRC	EXPLAINED	1	0
PTPRCAP	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RGS13	EXPLAINED	1	0
RGS17	EXPLAINED	1	0
RGS4	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
SRGN	EXPLAINED	1	0
TAP1	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
TNFAIP8	EXPLAINED	1	0
TRAF3IP3	EXPLAINED	1	0
UBE2C	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
UCP2	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
MAPK13	EXPLAINED	1	0
MAPT	EXPLAINED	1	0
MEF2C	EXPLAINED	1	0
NCF2	EXPLAINED	1	0
NEFH	EXPLAINED	1	0
NEFL	EXPLAINED	1	0
NEFM	EXPLAINED	1	0
PIN1	EXPLAINED	1	0
PTPRR	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
S100B	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
STXBP1	EXPLAINED	1	0
SYT1	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
PLCG2	EXPLAINED	1	0
PPP3CA	EXPLAINED	1	0
PPP3R1	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RGS13	EXPLAINED	1	0
RGS17	EXPLAINED	1	0
RGS4	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
YWHAH	EXPLAINED	1	0
PLCG2	EXPLAINED	1	0
PPP3CA	EXPLAINED	1	0
PPP3R1	EXPLAINED	1	0
RGS13	EXPLAINED	1	0
RGS17	EXPLAINED	1	0
RGS4	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
VIP	EXPLAINED	1	0
TUBB2A	EXPLAINED	1	0
TUBB2B	EXPLAINED	1	0
TUBB3	EXPLAINED	1	0
CTDSP2	DRIVER	1	1
CYP27B1	DRIVER	1	2
SEC61G	DRIVER	1	3
TRAM1	PHENOTYPE	1	3
TRAM2	PHENOTYPE	1	3
TPM3	DRIVER	1	4
ACTB	DRIVER	2	0
AMPH	DRIVER	2	0
EGFR	DRIVER	2	0
CD3G	DRIVER	2	0
GLI3	DRIVER	2	0
DBNL	DRIVER	2	0
ITGB8	DRIVER	2	0
AHR	DRIVER	2	0
HDAC9	DRIVER	2	0
HUS1	DRIVER	2	0
GRB10	DRIVER	2	0
PIK3C2B	DRIVER	2	0
PPIA	DRIVER	2	0
SEC61G	DRIVER	2	0
PTEN	DRIVER	2	0
ADCY1	DRIVER	2	0
CCT6A	DRIVER	2	0
PHKG1	DRIVER	2	0
IKZF1	DRIVER	2	0
IL6	DRIVER	2	0
RB1	DRIVER	2	0
MYC	PHENOTYPE	2	0
PAK3	PHENOTYPE	2	0
PAK7	PHENOTYPE	2	0
PCNA	PHENOTYPE	2	0
PIK3R1	PHENOTYPE	2	0
PIP5K1C	PHENOTYPE	2	0
POLE2	PHENOTYPE	2	0
PRNP	PHENOTYPE	2	0
RFC4	PHENOTYPE	2	0
SFN	PHENOTYPE	2	0
SV2A	PHENOTYPE	2	0
SV2B	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
VAMP8	PHENOTYPE	2	0
ANK2	PHENOTYPE	2	0
CHL1	PHENOTYPE	2	0
EPS15	PHENOTYPE	2	0
SH3GL2	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
VAMP8	PHENOTYPE	2	0
VIM	PHENOTYPE	2	0
EGR1	PHENOTYPE	2	0
EPS15	PHENOTYPE	2	0
EREG	PHENOTYPE	2	0
FGF13	PHENOTYPE	2	0
FGF14	PHENOTYPE	2	0
FGF9	PHENOTYPE	2	0
FYN	PHENOTYPE	2	0
HDAC1	PHENOTYPE	2	0
KRT18	PHENOTYPE	2	0
KRT19	PHENOTYPE	2	0
KRT7	PHENOTYPE	2	0
KRT8	PHENOTYPE	2	0
MUC1	PHENOTYPE	2	0
MYC	PHENOTYPE	2	0
PAK3	PHENOTYPE	2	0
PAK7	PHENOTYPE	2	0
PDGFRA	PHENOTYPE	2	0
PIK3R1	PHENOTYPE	2	0
PRNP	PHENOTYPE	2	0
SDC3	PHENOTYPE	2	0
SFN	PHENOTYPE	2	0
SH3BGRL	PHENOTYPE	2	0
SH3GL2	PHENOTYPE	2	0
SHC3	PHENOTYPE	2	0
SV2A	PHENOTYPE	2	0
SV2B	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
VAMP8	PHENOTYPE	2	0
CD74	PHENOTYPE	2	0
FYN	PHENOTYPE	2	0
MBP	PHENOTYPE	2	0
MOG	PHENOTYPE	2	0
PLP1	PHENOTYPE	2	0
HDAC1	PHENOTYPE	2	0
LMO3	PHENOTYPE	2	0
TUBB4	PHENOTYPE	2	0
ZIC1	PHENOTYPE	2	0
MBP	PHENOTYPE	2	0
MOG	PHENOTYPE	2	0
PLP1	PHENOTYPE	2	0
PAK3	PHENOTYPE	2	0
PAK7	PHENOTYPE	2	0
PIK3R1	PHENOTYPE	2	0
PRNP	PHENOTYPE	2	0
SFN	PHENOTYPE	2	0
SV2A	PHENOTYPE	2	0
SV2B	PHENOTYPE	2	0
VAMP8	PHENOTYPE	2	0
PCNA	PHENOTYPE	2	0
POLE2	PHENOTYPE	2	0
RFC4	PHENOTYPE	2	0
PCNA	PHENOTYPE	2	0
POLE2	PHENOTYPE	2	0
RFC4	PHENOTYPE	2	0
ZBTB16	PHENOTYPE	2	0
PCNA	PHENOTYPE	2	0
POLE2	PHENOTYPE	2	0
RFC4	PHENOTYPE	2	0
PIK3R1	PHENOTYPE	2	0
PIP5K1C	PHENOTYPE	2	0
SHC3	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
SSR1	PHENOTYPE	2	0
STT3A	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
SSR1	PHENOTYPE	2	0
STT3A	PHENOTYPE	2	0
SYNJ1	PHENOTYPE	2	0
TFRC	PHENOTYPE	2	0
TUBB4	PHENOTYPE	2	0
PYGL	PHENOTYPE	2	0
TUBB4	PHENOTYPE	2	0
RBBP8	PHENOTYPE	2	0
ZBTB16	PHENOTYPE	2	0
RBBP8	PHENOTYPE	2	0
ZBTB16	PHENOTYPE	2	0
ACTL6A	EXPLAINED	2	0
ACTL6B	EXPLAINED	2	0
ARPC1B	EXPLAINED	2	0
CDH3	EXPLAINED	2	0
CORO1A	EXPLAINED	2	0
CTNNA2	EXPLAINED	2	0
ITGB5	EXPLAINED	2	0
LAMB3	EXPLAINED	2	0
LAPTM5	EXPLAINED	2	0
MACF1	EXPLAINED	2	0
MYH10	EXPLAINED	2	0
NCOA1	EXPLAINED	2	0
NPM1	EXPLAINED	2	0
NR2F1	EXPLAINED	2	0
PCAF	EXPLAINED	2	0
PRIM1	EXPLAINED	2	0
RFC5	EXPLAINED	2	0
ROBO1	EXPLAINED	2	0
RPA3	EXPLAINED	2	0
RUVBL1	EXPLAINED	2	0
SATB1	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SMARCD2	EXPLAINED	2	0
SMARCD3	EXPLAINED	2	0
SNCA	EXPLAINED	2	0
SNCB	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
SRGAP3	EXPLAINED	2	0
TF	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
THBS2	EXPLAINED	2	0
TLN2	EXPLAINED	2	0
VAMP2	EXPLAINED	2	0
VWF	EXPLAINED	2	0
WASF1	EXPLAINED	2	0
WASF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
CDC2	EXPLAINED	2	0
CDK5R1	EXPLAINED	2	0
DNM1	EXPLAINED	2	0
GABRA1	EXPLAINED	2	0
GABRA2	EXPLAINED	2	0
GABRB1	EXPLAINED	2	0
GABRG2	EXPLAINED	2	0
MAPK10	EXPLAINED	2	0
MAPT	EXPLAINED	2	0
NEFH	EXPLAINED	2	0
NEFL	EXPLAINED	2	0
NEFM	EXPLAINED	2	0
NRCAM	EXPLAINED	2	0
NSF	EXPLAINED	2	0
PAX6	EXPLAINED	2	0
PPP3CA	EXPLAINED	2	0
RNF11	EXPLAINED	2	0
S100B	EXPLAINED	2	0
SNAP25	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
STX12	EXPLAINED	2	0
STX1A	EXPLAINED	2	0
STXBP1	EXPLAINED	2	0
STXBP6	EXPLAINED	2	0
SYN1	EXPLAINED	2	0
SYN2	EXPLAINED	2	0
SYT1	EXPLAINED	2	0
TF	EXPLAINED	2	0
VAMP2	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
LAMB3	EXPLAINED	2	0
RNF11	EXPLAINED	2	0
ROBO1	EXPLAINED	2	0
SDC2	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SNCA	EXPLAINED	2	0
SNCB	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
SRGAP3	EXPLAINED	2	0
TF	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
THBS2	EXPLAINED	2	0
VAMP2	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
CTSL1	EXPLAINED	2	0
HLA-DPA1	EXPLAINED	2	0
HLA-DPB1	EXPLAINED	2	0
HLA-DRA	EXPLAINED	2	0
HLA-DRB1	EXPLAINED	2	0
LAPTM5	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
GPSM2	EXPLAINED	2	0
KIF3A	EXPLAINED	2	0
KIF3C	EXPLAINED	2	0
MPP1	EXPLAINED	2	0
PRKACB	EXPLAINED	2	0
PRKAR2B	EXPLAINED	2	0
SLC12A2	EXPLAINED	2	0
TUBA1A	EXPLAINED	2	0
TUBB2A	EXPLAINED	2	0
TUBB2B	EXPLAINED	2	0
TUBG1	EXPLAINED	2	0
TUBG2	EXPLAINED	2	0
HLA-DRA	EXPLAINED	2	0
HLA-DRB1	EXPLAINED	2	0
LAPTM5	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
LAMB3	EXPLAINED	2	0
ROBO1	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SNCA	EXPLAINED	2	0
SNCB	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
SRGAP3	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
THBS2	EXPLAINED	2	0
TLN2	EXPLAINED	2	0
VAMP2	EXPLAINED	2	0
VWF	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
NCOA1	EXPLAINED	2	0
NPM1	EXPLAINED	2	0
NR2F1	EXPLAINED	2	0
PCAF	EXPLAINED	2	0
PRIM1	EXPLAINED	2	0
RFC5	EXPLAINED	2	0
RPA3	EXPLAINED	2	0
SATB1	EXPLAINED	2	0
MEF2C	EXPLAINED	2	0
NCOA1	EXPLAINED	2	0
NPM1	EXPLAINED	2	0
NR2F1	EXPLAINED	2	0
PCAF	EXPLAINED	2	0
PRIM1	EXPLAINED	2	0
RFC5	EXPLAINED	2	0
RPA3	EXPLAINED	2	0
SATB1	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
PRIM1	EXPLAINED	2	0
RFC5	EXPLAINED	2	0
RPA3	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TF	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
PPIB	EXPLAINED	2	0
PPP3CA	EXPLAINED	2	0
RPN1	EXPLAINED	2	0
SDC1	EXPLAINED	2	0
TF	EXPLAINED	2	0
THBS2	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TF	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
GNAI3	EXPLAINED	2	0
GNAO1	EXPLAINED	2	0
GNAZ	EXPLAINED	2	0
PRKACB	EXPLAINED	2	0
PRKAR2B	EXPLAINED	2	0
SLC12A2	EXPLAINED	2	0
TUBA1A	EXPLAINED	2	0
TUBB2A	EXPLAINED	2	0
TUBB2B	EXPLAINED	2	0
TUBG1	EXPLAINED	2	0
TUBG2	EXPLAINED	2	0
TUBA1A	EXPLAINED	2	0
TUBB2A	EXPLAINED	2	0
TUBB2B	EXPLAINED	2	0
TUBG1	EXPLAINED	2	0
TUBG2	EXPLAINED	2	0
PRKACB	EXPLAINED	2	0
PRKAR2B	EXPLAINED	2	0
SLC12A2	EXPLAINED	2	0
TUBA1A	EXPLAINED	2	0
TUBB2A	EXPLAINED	2	0
TUBB2B	EXPLAINED	2	0
TUBG1	EXPLAINED	2	0
TUBG2	EXPLAINED	2	0
LMO4	EXPLAINED	2	0
PTPRE	EXPLAINED	2	0
SHC1	EXPLAINED	2	0
SPRY2	EXPLAINED	2	0
TFF1	EXPLAINED	2	0
TFF3	EXPLAINED	2	0
YWHAH	EXPLAINED	2	0
TOP2A	EXPLAINED	2	0
AQP1	DRIVER	2	1
AQP4	PHENOTYPE	2	1
ELMO1	DRIVER	2	2
GCK	DRIVER	2	3
PSMA2	DRIVER	2	3
ZWINT	PHENOTYPE	2	3
NUP107	EXPLAINED	2	3
NUP155	EXPLAINED	2	3
NUP205	EXPLAINED	2	3
NUP37	EXPLAINED	2	3
NUP88	EXPLAINED	2	3
NUP93	EXPLAINED	2	3
PAX6	EXPLAINED	2	3
PLK1	EXPLAINED	2	3
SNRPB	EXPLAINED	2	3
SPC25	EXPLAINED	2	3
TMEM48	EXPLAINED	2	3
ZWILCH	EXPLAINED	2	3
PSMA5	EXPLAINED	2	3
PTTG1	EXPLAINED	2	3
SNCA	EXPLAINED	2	3
SNCB	EXPLAINED	2	3
UBE2C	EXPLAINED	2	3
UBE2S	EXPLAINED	2	3
YWHAH	EXPLAINED	2	3
HOXA5	DRIVER	2	4
RAC1	DRIVER	2	5
RACGAP1	EXPLAINED	2	5
RHOD	EXPLAINED	2	5
RICH2	EXPLAINED	2	5
ROBO1	EXPLAINED	2	5
SRGAP3	EXPLAINED	2	5
TIAM1	EXPLAINED	2	5
TLN2	EXPLAINED	2	5
WASF1	EXPLAINED	2	5
WASF3	EXPLAINED	2	5
CD3G	DRIVER	3	0
CDKN2A	DRIVER	3	0
CDKN2B	DRIVER	3	0
FLI1	DRIVER	3	0
IGHM	PHENOTYPE	3	0
IGKC	PHENOTYPE	3	0
MBP	PHENOTYPE	3	0
MOG	PHENOTYPE	3	0
PLP1	PHENOTYPE	3	0
PSMB8	PHENOTYPE	3	0
PSMB9	PHENOTYPE	3	0
TRIM22	PHENOTYPE	3	0
VAV3	PHENOTYPE	3	0
HDAC1	PHENOTYPE	3	0
MYC	PHENOTYPE	3	0
PIK3R1	PHENOTYPE	3	0
TP53I3	PHENOTYPE	3	0
TRIM22	PHENOTYPE	3	0
VCAN	PHENOTYPE	3	0
MYC	PHENOTYPE	3	0
FOS	PHENOTYPE	3	0
PLAU	PHENOTYPE	3	0
PLAUR	PHENOTYPE	3	0
TP53I3	PHENOTYPE	3	0
TRIM22	PHENOTYPE	3	0
VCAM1	PHENOTYPE	3	0
VCAN	PHENOTYPE	3	0
ERBB3	EXPLAINED	3	0
HLA-DMA	EXPLAINED	3	0
HLA-DPB1	EXPLAINED	3	0
HLA-DQA1	EXPLAINED	3	0
HLA-DQB1	EXPLAINED	3	0
HLA-DRA	EXPLAINED	3	0
HLA-F	EXPLAINED	3	0
ICAM3	EXPLAINED	3	0
IGKV1-5	EXPLAINED	3	0
IGLV3-25	EXPLAINED	3	0
IL2RG	EXPLAINED	3	0
ISG20	EXPLAINED	3	0
SYK	EXPLAINED	3	0
UBE2C	EXPLAINED	3	0
TP53	EXPLAINED	3	0
IGFBP3	EXPLAINED	3	0
MMP1	EXPLAINED	3	0
MMP2	EXPLAINED	3	0
MMP3	EXPLAINED	3	0
MMP7	EXPLAINED	3	0
MMP9	EXPLAINED	3	0
NOX1	EXPLAINED	3	0
PPARG	EXPLAINED	3	0
SALL2	EXPLAINED	3	0
ST14	EXPLAINED	3	0
TGFBR2	EXPLAINED	3	0
THBS1	EXPLAINED	3	0
THBS2	EXPLAINED	3	0
TIMP1	EXPLAINED	3	0
TNFAIP6	EXPLAINED	3	0
TP53	EXPLAINED	3	0
YAP1	EXPLAINED	3	0
ELAVL2	DRIVER	3	1
ELAVL4	PHENOTYPE	3	1
IFNA1	DRIVER	3	2
IFNB1	DRIVER	3	3
SEC61G	DRIVER	3	4
SSR1	PHENOTYPE	3	4
STT3A	PHENOTYPE	3	4
TRAM2	PHENOTYPE	3	4
ADAM12	DRIVER	4	0
CTSL2	EXPLAINED	4	0
IGFBP3	EXPLAINED	4	0
MMP1	EXPLAINED	4	0
ATM	DRIVER	4	1
ATR	DRIVER	4	1
HSP90AA1	DRIVER	4	1
MSH6	DRIVER	4	1
TP53	DRIVER	4	1
