GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
GLI1	0.040	0.003	0.000	0.037	-	-	19.2706233831643	0.064	0.009	0.003	0.052
PIK3C2B	0.052	0.012	0.000	0.043	-	-	19.0295736955107	0.055	0.012	0.000	0.046
MDM2	0.049	0.000	0.000	0.049	CC	-	18.8148782888294	0.076	0.006	0.000	0.070
PDGFRA	0.055	0.040	0.000	0.024	CC	PC	17.0493477655487	0.055	0.040	0.000	0.024
KDR	0.055	0.021	0.000	0.037	CC	-	16.6781489876824	0.064	0.027	0.000	0.040
COL1A2	0.043	0.027	0.000	0.015	-	-	15.7158227056021	0.043	0.027	0.000	0.015
LRP1	0.034	0.018	0.006	0.009	-	-	14.7706567663558	0.034	0.018	0.006	0.009
PIK3CG	0.037	0.027	0.000	0.009	-	PC	14.0595063732261	0.037	0.027	0.000	0.009
IFNG	0.034	0.006	0.009	0.018	-	-	13.4741834244393	0.034	0.006	0.009	0.018
IKZF1	0.030	0.006	0.000	0.024	CC	-	12.9564718418855	0.030	0.006	0.000	0.024
KIF5A	0.037	0.000	0.000	0.037	-	-	12.8250929679412	0.064	0.000	0.003	0.061
TEK	0.034	0.003	0.030	0.000	-	-	12.7370336580084	0.064	0.015	0.049	0.000
CD3G	0.027	0.003	0.003	0.021	-	-	12.4741534538924	0.030	0.003	0.003	0.024
ATRX	0.037	0.037	0.000	0.000	CC	PC	11.6372694433068	0.043	0.043	0.000	0.000
RYR2	0.052	0.052	0.000	0.000	-	-	11.5834125435637	0.079	0.079	0.000	0.000
AMPH	0.021	0.012	0.000	0.009	-	PC	11.4091654797159	0.021	0.012	0.000	0.009
COL6A3	0.034	0.034	0.000	0.000	-	-	11.3093332724718	0.034	0.034	0.000	0.000
DMD	0.027	0.021	0.003	0.003	-	PC	11.3014081187595	0.040	0.034	0.003	0.003
MET	0.030	0.015	0.000	0.015	CC	-	11.2147189417195	0.030	0.015	0.000	0.015
NOS3	0.027	0.018	0.000	0.012	-	-	11.1895939818973	0.027	0.018	0.000	0.012
COL6A2	0.027	0.027	0.000	0.000	-	-	10.5801733109901	0.027	0.027	0.000	0.000
GLI3	0.018	0.006	0.000	0.012	-	-	9.99993848605034	0.018	0.006	0.000	0.012
LRP2	0.024	0.024	0.000	0.000	-	-	9.89285747138164	0.046	0.046	0.000	0.000
PPIA	0.018	0.000	0.000	0.018	-	-	9.88906084778407	0.018	0.000	0.000	0.018
ANK2	0.030	0.030	0.000	0.000	-	-	9.88594663847659	0.030	0.030	0.000	0.000
RIMS2	0.034	0.034	0.000	0.000	-	-	9.88260093219545	0.034	0.034	0.000	0.000
FGFR2	0.027	0.003	0.021	0.003	CC	PC	9.66021167333832	0.027	0.003	0.021	0.003
LAMA2	0.018	0.018	0.000	0.000	-	-	9.57202798846621	0.018	0.018	0.000	0.000
GRB10	0.021	0.006	0.000	0.015	-	-	9.45095404338517	0.027	0.006	0.000	0.021
PSMA2	0.015	0.000	0.000	0.015	-	-	8.95963266624636	0.015	0.000	0.000	0.015
PTPRB	0.021	0.006	0.000	0.015	-	-	8.95747560806677	0.021	0.006	0.000	0.015
FRS2	0.024	0.000	0.000	0.024	-	-	8.64251603627467	0.024	0.000	0.000	0.024
FN1	0.018	0.018	0.000	0.000	-	PC	8.62079368684046	0.018	0.018	0.000	0.000
STAT6	0.021	0.003	0.006	0.012	-	-	8.40833285216625	0.021	0.003	0.006	0.012
LAMA1	0.018	0.018	0.000	0.000	-	-	8.29752599561164	0.018	0.018	0.000	0.000
SMARCC2	0.015	0.006	0.003	0.006	-	-	8.25399174160746	0.015	0.006	0.003	0.006
DRD5	0.027	0.027	0.000	0.000	-	-	8.19672155526748	0.027	0.027	0.000	0.000
FLNC	0.024	0.009	0.000	0.015	-	-	8.19317773063529	0.024	0.009	0.000	0.015
NOS1	0.018	0.015	0.000	0.003	-	-	8.099073871975	0.018	0.015	0.000	0.003
ADAM12	0.021	0.006	0.015	0.000	-	-	8.09903864981815	0.024	0.006	0.018	0.000
PIK3C2G	0.027	0.024	0.003	0.000	-	-	8.00870170839351	0.027	0.024	0.003	0.000
LAMA5	0.015	0.015	0.000	0.000	-	-	7.98696805714726	0.015	0.015	0.000	0.000
PLAU	0.021	0.000	0.021	0.000	-	-	7.85729556405296	0.021	0.000	0.021	0.000
BUB3	0.021	0.000	0.021	0.000	-	-	7.85729556405296	0.021	0.000	0.021	0.000
NCF1	0.018	0.003	0.000	0.015	-	-	7.8019484131235	0.018	0.003	0.000	0.015
MAPK8	0.018	0.003	0.015	0.000	-	-	7.78784214079129	0.018	0.003	0.015	0.000
CTDSP2	0.018	0.003	0.000	0.015	-	-	7.76957222856792	0.095	0.003	0.000	0.091
MDM4	0.015	0.003	0.000	0.012	CC	-	7.64437607729801	0.037	0.003	0.000	0.034
ACTB	0.012	0.000	0.000	0.012	-	-	7.52521612266649	0.012	0.000	0.000	0.012
FAS	0.018	0.000	0.018	0.000	-	-	7.38601770710142	0.024	0.000	0.024	0.000
PGR	0.015	0.015	0.000	0.000	-	-	7.38251248182029	0.018	0.018	0.000	0.000
RERE	0.018	0.015	0.003	0.000	-	-	7.37587248589121	0.027	0.018	0.009	0.000
CCT6A	0.058	0.000	0.000	0.058	-	-	7.2605935366736	0.082	0.000	0.000	0.082
ITGB8	0.015	0.003	0.000	0.012	-	-	7.24653666100554	0.015	0.003	0.000	0.012
GABRA6	0.024	0.024	0.000	0.000	-	-	7.20062373728467	0.027	0.027	0.000	0.000
HNRNPA2B1	0.009	0.000	0.000	0.009	CC	-	7.17598178472787	0.012	0.000	0.000	0.012
RELN	0.027	0.024	0.000	0.003	-	-	7.13650900765458	0.046	0.040	0.000	0.006
AKAP9	0.024	0.015	0.000	0.009	CC	PC	7.11840753597076	0.027	0.015	0.000	0.012
ING3	0.009	0.000	0.000	0.009	-	-	6.91669656620034	0.015	0.000	0.000	0.015
ITGB1	0.018	0.003	0.012	0.003	-	-	6.77713818054177	0.018	0.003	0.012	0.003
ATR	0.018	0.015	0.000	0.003	-	PC	6.76402447152627	0.018	0.015	0.000	0.003
ATM	0.018	0.018	0.000	0.000	CC	PC	6.7069048753151	0.018	0.018	0.000	0.000
DSP	0.012	0.012	0.000	0.000	-	-	6.60211722141432	0.030	0.030	0.000	0.000
LAMB4	0.018	0.012	0.000	0.006	-	-	6.56260045328079	0.018	0.012	0.000	0.006
FLT1	0.018	0.015	0.003	0.000	-	-	6.53764760764051	0.018	0.015	0.003	0.000
CNOT2	0.012	0.003	0.000	0.012	-	-	6.53637254473212	0.021	0.003	0.000	0.021
XRCC2	0.015	0.000	0.003	0.012	-	-	6.5266257338719	0.018	0.000	0.003	0.015
FGFR1	0.012	0.012	0.000	0.000	CC	-	6.365783048509	0.012	0.012	0.000	0.000
FBN2	0.018	0.015	0.003	0.000	-	PC	6.32242027243123	0.021	0.018	0.003	0.000
EPC1	0.018	0.003	0.012	0.003	-	-	6.3004427331505	0.018	0.003	0.012	0.003
GABRB3	0.021	0.018	0.003	0.000	-	-	6.27954442429445	0.021	0.018	0.003	0.000
DDIT3	0.018	0.000	0.000	0.018	CC	-	6.19752989637445	0.073	0.003	0.003	0.067
CNTN2	0.018	0.006	0.000	0.012	-	-	6.19678644823559	0.018	0.006	0.000	0.012
TCF7L2	0.021	0.006	0.015	0.000	CC	PC	6.19025095710077	0.021	0.006	0.015	0.000
GRIN2A	0.024	0.024	0.000	0.000	-	-	6.18868456545412	0.024	0.024	0.000	0.000
CCT2	0.024	0.006	0.000	0.018	-	-	6.18450843496012	0.030	0.006	0.000	0.024
FGFR4	0.012	0.012	0.000	0.000	-	-	6.17712906451794	0.012	0.012	0.000	0.000
STX1A	0.015	0.000	0.000	0.015	-	-	6.1495943512482	0.015	0.000	0.000	0.015
DNMBP	0.018	0.012	0.006	0.000	-	-	6.04046151149864	0.024	0.012	0.012	0.000
COL1A1	0.012	0.012	0.000	0.000	CC	-	5.9780972627447	0.012	0.012	0.000	0.000
MSH6	0.015	0.015	0.000	0.000	CC	-	5.93922295917632	0.018	0.018	0.000	0.000
DNAH9	0.027	0.027	0.000	0.000	-	-	5.91837061114499	0.027	0.027	0.000	0.000
LAMB1	0.015	0.009	0.000	0.006	-	-	5.7949017398498	0.015	0.009	0.000	0.006
FGFR3	0.015	0.012	0.000	0.003	CC	PC	5.73452187923753	0.015	0.012	0.000	0.003
ZWINT	0.012	0.000	0.012	0.000	-	-	5.72199061218468	0.015	0.000	0.015	0.000
SMARCA2	0.015	0.003	0.012	0.000	-	-	5.70507658419413	0.021	0.009	0.012	0.000
ANK1	0.024	0.021	0.003	0.000	-	-	5.6862039063634	0.037	0.021	0.015	0.000
HGF	0.018	0.006	0.000	0.012	-	PC	5.65331751223796	0.018	0.006	0.000	0.012
VAV1	0.009	0.009	0.000	0.000	-	-	5.55166827884234	0.009	0.009	0.000	0.000
HOXA9	0.009	0.000	0.000	0.009	CC	-	5.54577397143776	0.015	0.003	0.000	0.012
GNAT3	0.024	0.012	0.000	0.012	-	-	5.47368620746196	0.027	0.012	0.000	0.015
MLLT4	0.015	0.012	0.003	0.000	CC	PC	5.46899140941213	0.015	0.012	0.003	0.000
CDK6	0.018	0.000	0.000	0.018	CC	-	5.44574359913898	0.018	0.000	0.000	0.018
FBLN2	0.018	0.018	0.000	0.000	-	-	5.39924017155173	0.018	0.018	0.000	0.000
SMC3	0.015	0.000	0.015	0.000	-	PC	5.39823436382759	0.024	0.009	0.015	0.000
IGFBP3	0.018	0.000	0.000	0.018	-	-	5.31401980939085	0.018	0.000	0.000	0.018
GABRA1	0.015	0.015	0.000	0.000	-	-	5.27158553202993	0.015	0.015	0.000	0.000
TSC2	0.012	0.012	0.000	0.000	CC	PC	5.25121905661926	0.012	0.012	0.000	0.000
ITSN1	0.009	0.009	0.000	0.000	-	-	5.23246128865743	0.012	0.012	0.000	0.000
WEE2	0.012	0.006	0.000	0.006	-	-	5.21418815335355	0.015	0.006	0.000	0.009
APOB	0.012	0.012	0.000	0.000	-	-	5.17935862724204	0.040	0.037	0.000	0.003
ASPM	0.012	0.012	0.000	0.000	-	PC	5.17553006203367	0.015	0.015	0.000	0.000
ITGB3	0.012	0.012	0.000	0.000	-	-	5.06437803395018	0.012	0.012	0.000	0.000
RALA	0.012	0.000	0.000	0.012	-	-	5.01595840916502	0.012	0.000	0.000	0.012
ERG	0.012	0.009	0.003	0.000	CC	-	4.99618400991135	0.012	0.009	0.003	0.000
TNC	0.012	0.012	0.000	0.000	-	-	4.9811193068687	0.012	0.012	0.000	0.000
LAMB3	0.012	0.012	0.000	0.000	-	-	4.9749150010831	0.012	0.012	0.000	0.000
ADCYAP1R1	0.006	0.000	0.000	0.006	-	-	4.92686909586504	0.018	0.003	0.000	0.015
FLI1	0.009	0.009	0.000	0.000	CC	-	4.9216131348057	0.009	0.009	0.000	0.000
HDAC2	0.012	0.009	0.003	0.000	-	-	4.89122316306704	0.012	0.009	0.003	0.000
ZNF3	0.009	0.003	0.000	0.006	-	-	4.86770502654611	0.012	0.006	0.000	0.006
DFFB	0.009	0.000	0.009	0.000	-	-	4.83148470028562	0.009	0.000	0.009	0.000
CACNA1S	0.021	0.018	0.000	0.003	-	-	4.81813367775636	0.027	0.024	0.000	0.003
RAC1	0.006	0.000	0.000	0.006	-	PC	4.80254486918373	0.006	0.000	0.000	0.006
ATN1	0.012	0.009	0.000	0.003	-	-	4.77258357387677	0.015	0.009	0.000	0.006
SLC6A3	0.018	0.012	0.003	0.003	-	-	4.74734285580222	0.018	0.012	0.003	0.003
EZH2	0.012	0.000	0.000	0.012	CC	PC	4.65545240353413	0.015	0.003	0.000	0.012
DBNL	0.012	0.000	0.000	0.012	-	-	4.64565171150263	0.018	0.000	0.000	0.018
ITGAM	0.015	0.015	0.000	0.000	-	-	4.6014889570974	0.015	0.015	0.000	0.000
SLC18A2	0.018	0.003	0.015	0.000	-	-	4.56778962362072	0.018	0.003	0.015	0.000
PIK3CD	0.012	0.000	0.009	0.003	-	-	4.55200981405875	0.012	0.000	0.009	0.003
COL2A1	0.009	0.003	0.003	0.003	-	-	4.5364975061644	0.009	0.003	0.003	0.003
CREBBP	0.015	0.015	0.000	0.000	CC	-	4.51013136300739	0.015	0.015	0.000	0.000
GABRB2	0.015	0.015	0.000	0.000	-	-	4.48592400877455	0.015	0.015	0.000	0.000
FLNA	0.018	0.012	0.003	0.003	-	-	4.47456575760669	0.018	0.012	0.003	0.003
VEGFA	0.012	0.006	0.000	0.006	-	-	4.44974612361841	0.012	0.006	0.000	0.006
HLA-A	0.009	0.000	0.009	0.000	-	PC	4.42761935471855	0.009	0.000	0.009	0.000
VAMP7	0.009	0.009	0.000	0.000	-	-	4.40600817670823	0.009	0.009	0.000	0.000
BTRC	0.015	0.003	0.012	0.000	-	-	4.39751389396632	0.015	0.003	0.012	0.000
CEP135	0.024	0.000	0.003	0.021	-	-	4.30266525153938	0.027	0.003	0.003	0.021
COL14A1	0.015	0.015	0.000	0.000	-	-	4.28419448746165	0.015	0.015	0.000	0.000
LAMC3	0.015	0.015	0.000	0.000	-	-	4.2616182002905	0.015	0.015	0.000	0.000
PIK3CB	0.009	0.006	0.000	0.003	-	PC	4.25981205243197	0.009	0.006	0.000	0.003
NOD1	0.012	0.000	0.000	0.012	-	-	4.24919065897699	0.021	0.006	0.000	0.015
EP300	0.009	0.006	0.003	0.000	CC	PC	4.10972683045504	0.009	0.006	0.003	0.000
ERBB2	0.021	0.021	0.000	0.000	CC	PC	4.10398344458039	0.021	0.021	0.000	0.000
BRCA1	0.012	0.012	0.000	0.000	CC	PC	4.08328126268989	0.012	0.012	0.000	0.000
PRKCQ	0.015	0.003	0.009	0.003	-	-	4.07610473633882	0.015	0.003	0.009	0.003
MASTL	0.012	0.000	0.009	0.003	-	-	4.06810267468067	0.012	0.000	0.009	0.003
MYST4	0.012	0.009	0.003	0.000	CC	-	4.04626051548959	0.030	0.009	0.021	0.000
NRXN1	0.009	0.009	0.000	0.000	-	-	4.04156351812558	0.015	0.015	0.000	0.000
COL11A2	0.012	0.012	0.000	0.000	-	-	4.03587034715645	0.018	0.018	0.000	0.000
EGF	0.009	0.009	0.000	0.000	-	-	4.0297331358509	0.009	0.009	0.000	0.000
ITGA8	0.015	0.003	0.009	0.003	-	-	4.02690264209913	0.015	0.003	0.009	0.003
CHEK1	0.012	0.012	0.000	0.000	-	-	3.99834987323804	0.012	0.012	0.000	0.000
SRPK1	0.009	0.006	0.000	0.003	-	-	3.90050906894249	0.009	0.006	0.000	0.003
LAMA3	0.012	0.012	0.000	0.000	-	-	3.82290418420883	0.012	0.012	0.000	0.000
PLG	0.009	0.006	0.003	0.000	-	-	3.8041184546835	0.009	0.006	0.003	0.000
CEP63	0.009	0.006	0.003	0.000	-	-	3.77335613163017	0.009	0.006	0.003	0.000
BCAR1	0.009	0.006	0.003	0.000	-	-	3.74662610416977	0.009	0.006	0.003	0.000
COL4A5	0.012	0.009	0.003	0.000	-	-	3.72342432877998	0.012	0.009	0.003	0.000
VAV2	0.009	0.009	0.000	0.000	-	-	3.72027779211761	0.009	0.009	0.000	0.000
MED13	0.009	0.009	0.000	0.000	-	PC	3.69066645825344	0.009	0.009	0.000	0.000
SHB	0.012	0.009	0.003	0.000	-	-	3.67287542362033	0.012	0.009	0.003	0.000
MCM5	0.009	0.006	0.003	0.000	-	-	3.65937206096911	0.009	0.006	0.003	0.000
MCM6	0.009	0.006	0.000	0.003	-	-	3.62296188256463	0.009	0.006	0.000	0.003
F8	0.015	0.015	0.000	0.000	-	-	3.58987569151616	0.015	0.015	0.000	0.000
PRKX	0.006	0.003	0.003	0.000	-	-	3.58751941453118	0.006	0.003	0.003	0.000
SMAD4	0.006	0.006	0.000	0.000	-	PC	3.57616650668569	0.006	0.006	0.000	0.000
ITGB4	0.012	0.009	0.000	0.003	-	-	3.57377347896709	0.012	0.009	0.000	0.003
VAMP3	0.012	0.003	0.009	0.000	-	-	3.57164328623713	0.012	0.003	0.009	0.000
EZR	0.012	0.012	0.000	0.000	CC	-	3.55663247541001	0.012	0.012	0.000	0.000
MAP4K1	0.009	0.006	0.000	0.003	-	-	3.54678527348549	0.009	0.006	0.000	0.003
CHEK2	0.012	0.012	0.000	0.000	CC	PC	3.53345436073193	0.024	0.024	0.000	0.000
F2	0.006	0.006	0.000	0.000	-	-	3.51443504061577	0.006	0.006	0.000	0.000
PRKDC	0.021	0.021	0.000	0.000	-	-	3.46512855986294	0.021	0.021	0.000	0.000
DBF4	0.009	0.000	0.000	0.009	-	-	3.43696610229856	0.012	0.000	0.000	0.012
CHL1	0.015	0.015	0.000	0.000	-	-	3.42960081875939	0.021	0.021	0.000	0.000
MCM7	0.009	0.003	0.000	0.006	-	-	3.41233982647564	0.012	0.006	0.000	0.006
SMO	0.009	0.003	0.000	0.006	CC	-	3.41226605659379	0.015	0.003	0.000	0.012
IGF2R	0.006	0.006	0.000	0.000	-	-	3.4116868864782	0.006	0.006	0.000	0.000
CDC2	0.009	0.000	0.009	0.000	-	-	3.40467316190791	0.009	0.000	0.009	0.000
PSMC2	0.006	0.000	0.000	0.006	-	-	3.40436846423989	0.006	0.000	0.000	0.006
CDH5	0.006	0.006	0.000	0.000	-	-	3.37457468430973	0.006	0.006	0.000	0.000
VCAN	0.009	0.006	0.003	0.000	-	-	3.33049899248279	0.009	0.006	0.003	0.000
PTPRC	0.006	0.006	0.000	0.000	-	-	3.32192650506206	0.006	0.006	0.000	0.000
ITGA4	0.009	0.009	0.000	0.000	-	-	3.31788852736694	0.009	0.009	0.000	0.000
DLG4	0.006	0.006	0.000	0.000	-	-	3.31296507275914	0.009	0.009	0.000	0.000
ITGA7	0.006	0.003	0.000	0.003	-	-	3.24253036164824	0.006	0.003	0.000	0.003
POLR2A	0.006	0.006	0.000	0.000	-	-	3.22674626014366	0.006	0.006	0.000	0.000
CACNB3	0.003	0.000	0.000	0.003	-	-	3.20108822733844	0.015	0.006	0.003	0.006
GABRG2	0.009	0.009	0.000	0.000	-	-	3.19878666300882	0.009	0.009	0.000	0.000
LYN	0.009	0.009	0.000	0.000	-	PC	3.17005370187729	0.009	0.009	0.000	0.000
DOCK2	0.012	0.012	0.000	0.000	-	PC	3.15582958501895	0.018	0.018	0.000	0.000
BCR	0.009	0.006	0.003	0.000	CC	-	3.14274350798154	0.009	0.006	0.003	0.000
BSG	0.006	0.000	0.003	0.003	-	-	3.13785652524074	0.006	0.000	0.003	0.003
PTPN11	0.012	0.012	0.000	0.000	CC	PC	3.12477080985801	0.012	0.012	0.000	0.000
EGR1	0.009	0.009	0.000	0.000	-	-	3.11904356577179	0.009	0.009	0.000	0.000
ACAN	0.012	0.012	0.000	0.000	-	-	3.01550893414804	0.012	0.012	0.000	0.000
LAMC1	0.006	0.006	0.000	0.000	-	-	2.9972598178672	0.006	0.006	0.000	0.000
ITGAX	0.015	0.015	0.000	0.000	-	-	2.93929801359897	0.018	0.018	0.000	0.000
CD3E	0.006	0.006	0.000	0.000	-	-	2.91223719520941	0.006	0.006	0.000	0.000
POU2F1	0.006	0.006	0.000	0.000	-	-	2.91038377195409	0.006	0.006	0.000	0.000
STAT1	0.006	0.006	0.000	0.000	-	-	2.88431216640273	0.006	0.006	0.000	0.000
MAPK1	0.009	0.006	0.003	0.000	-	-	2.85985448098381	0.009	0.006	0.003	0.000
ABL1	0.006	0.006	0.000	0.000	CC	PC	2.83616500491132	0.006	0.006	0.000	0.000
ITGA10	0.009	0.009	0.000	0.000	-	-	2.81215658175268	0.009	0.009	0.000	0.000
SDCCAG8	0.012	0.003	0.000	0.009	-	-	2.7748681951392	0.012	0.003	0.000	0.009
PLCG1	0.012	0.012	0.000	0.000	-	PC	2.71907248539657	0.012	0.012	0.000	0.000
IGF1R	0.006	0.006	0.000	0.000	-	-	2.7167860381298	0.006	0.006	0.000	0.000
AKT1	0.012	0.003	0.000	0.009	CC	PC	2.70943079101927	0.012	0.003	0.000	0.009
SMC1A	0.012	0.009	0.000	0.003	-	PC	2.68724166681851	0.015	0.012	0.000	0.003
PDGFRB	0.009	0.009	0.000	0.000	CC	-	2.67272549500568	0.012	0.012	0.000	0.000
MMP7	0.006	0.006	0.000	0.000	-	-	2.65436734078737	0.006	0.006	0.000	0.000
RYR1	0.012	0.012	0.000	0.000	-	-	2.64822997699012	0.015	0.015	0.000	0.000
PSMB8	0.006	0.006	0.000	0.000	-	-	2.62954057212222	0.006	0.006	0.000	0.000
PRKCA	0.006	0.006	0.000	0.000	-	-	2.59842982311924	0.006	0.006	0.000	0.000
CRKL	0.006	0.003	0.003	0.000	-	-	2.58237201142279	0.006	0.003	0.003	0.000
CUBN	0.006	0.006	0.000	0.000	-	-	2.56672249728642	0.024	0.012	0.009	0.003
SFN	0.003	0.003	0.000	0.000	-	-	2.52503952078087	0.003	0.003	0.000	0.000
TUBG1	0.006	0.006	0.000	0.000	-	-	2.52130668246368	0.006	0.006	0.000	0.000
TARDBP	0.006	0.000	0.003	0.003	-	-	2.51417557071502	0.006	0.000	0.003	0.003
FBLN1	0.009	0.006	0.003	0.000	-	-	2.48922115130465	0.012	0.006	0.006	0.000
BCLAF1	0.006	0.006	0.000	0.000	-	PC	2.47556923461758	0.015	0.015	0.000	0.000
PSIP1	0.009	0.000	0.009	0.000	-	-	2.46385145722182	0.012	0.000	0.009	0.003
PRKCB	0.009	0.009	0.000	0.000	-	-	2.45046984888001	0.009	0.009	0.000	0.000
COL4A1	0.009	0.009	0.000	0.000	-	-	2.44598967884046	0.009	0.009	0.000	0.000
ACTN1	0.006	0.006	0.000	0.000	-	-	2.44184138925457	0.006	0.006	0.000	0.000
ITGB7	0.009	0.009	0.000	0.000	-	-	2.44112639048633	0.009	0.009	0.000	0.000
RAB3GAP2	0.012	0.009	0.003	0.000	-	-	2.37580631362779	0.012	0.009	0.003	0.000
MORF4L1	0.003	0.003	0.000	0.000	-	-	2.37343691554415	0.003	0.003	0.000	0.000
ITGA1	0.006	0.006	0.000	0.000	-	-	2.36559496500006	0.006	0.006	0.000	0.000
PSMD13	0.009	0.009	0.000	0.000	-	-	2.33895005653655	0.009	0.009	0.000	0.000
RAD50	0.006	0.003	0.003	0.000	-	-	2.32706134998047	0.006	0.003	0.003	0.000
CALML5	0.015	0.003	0.009	0.003	-	-	2.32435258551144	0.015	0.003	0.009	0.003
TUBG2	0.003	0.003	0.000	0.000	-	-	2.31731745027677	0.003	0.003	0.000	0.000
RASA1	0.003	0.000	0.003	0.000	-	PC	2.31731745027677	0.003	0.000	0.003	0.000
PTBP1	0.003	0.000	0.003	0.000	-	-	2.31731745027677	0.009	0.003	0.003	0.003
PRKACG	0.003	0.000	0.003	0.000	-	-	2.31731745027677	0.003	0.000	0.003	0.000
NCAPH	0.003	0.000	0.000	0.003	-	-	2.31731745027677	0.003	0.000	0.000	0.003
EPHA1	0.006	0.003	0.000	0.003	-	-	2.31404528941405	0.009	0.003	0.000	0.006
PXN	0.006	0.003	0.000	0.003	-	-	2.30977900460703	0.006	0.003	0.000	0.003
SYNJ1	0.006	0.000	0.000	0.006	-	-	2.29493875549696	0.006	0.000	0.000	0.006
IL12RB2	0.009	0.006	0.000	0.003	-	-	2.29260760216811	0.009	0.006	0.000	0.003
HMHA1	0.006	0.006	0.000	0.000	-	-	2.2814685323759	0.009	0.006	0.003	0.000
SMARCA4	0.003	0.003	0.000	0.000	CC	PC	2.28099748619867	0.003	0.003	0.000	0.000
ZNF212	0.012	0.000	0.000	0.012	-	-	2.27572980882789	0.012	0.000	0.000	0.012
TES	0.009	0.000	0.000	0.009	-	-	2.26758825724302	0.018	0.006	0.000	0.012
TRPV6	0.009	0.009	0.000	0.003	-	-	2.26608995923587	0.024	0.021	0.000	0.006
NTRK3	0.003	0.003	0.000	0.000	CC	-	2.25920504039677	0.006	0.006	0.000	0.000
TUBA3C	0.006	0.006	0.000	0.000	-	-	2.25851289642601	0.012	0.012	0.000	0.000
STXBP1	0.006	0.006	0.000	0.000	-	-	2.24291187940812	0.006	0.006	0.000	0.000
KIR3DL2	0.006	0.006	0.000	0.000	-	-	2.24129963748614	0.018	0.015	0.003	0.000
CHP2	0.006	0.006	0.000	0.000	-	-	2.23173656287286	0.006	0.006	0.000	0.000
IKZF3	0.006	0.006	0.000	0.000	-	-	2.22846483258055	0.006	0.006	0.000	0.000
CSNK2B	0.009	0.003	0.003	0.003	-	-	2.22842708392706	0.009	0.003	0.003	0.003
FOXG1	0.003	0.003	0.000	0.000	-	-	2.22149828242608	0.009	0.009	0.000	0.000
FCER1A	0.003	0.003	0.000	0.000	-	-	2.22149828242608	0.006	0.006	0.000	0.000
CNTN1	0.006	0.003	0.003	0.000	-	-	2.21749151971275	0.006	0.003	0.003	0.000
PPP2R1B	0.003	0.003	0.000	0.000	-	-	2.21022698473592	0.006	0.006	0.000	0.000
ESR1	0.003	0.003	0.000	0.000	-	PC	2.21022698473592	0.003	0.003	0.000	0.000
E2F4	0.003	0.003	0.000	0.000	-	-	2.21022698473592	0.003	0.003	0.000	0.000
IGFBP7	0.012	0.000	0.003	0.009	-	-	2.174447283438	0.015	0.000	0.003	0.012
CDH23	0.030	0.009	0.021	0.000	-	-	2.16130382140004	0.030	0.009	0.021	0.000
SREBF1	0.003	0.003	0.000	0.000	-	-	2.15236281020652	0.003	0.003	0.000	0.000
